r_t1, r_t2, c_prob, c_prob_epoch_t0, c_prob_epoch_t1, cp, obs_cp, mu_rewards, std_rewards
2.814484,0.000000,0.583333,1.000000,0.000000,1.000000,0.000000,3.000000,1.000000
3.696605,0.000000,0.600000,1.000000,0.000000,0.000000,0.000000,3.000000,1.000000
3.905999,0.000000,0.615385,1.000000,0.000000,0.000000,0.000000,3.000000,1.000000
0.000000,4.096183,0.592593,0.750000,0.250000,0.000000,1.000000,3.000000,1.000000
3.803707,0.000000,0.607143,0.800000,0.200000,0.000000,1.000000,3.000000,1.000000
4.381724,0.000000,0.620690,0.833333,0.166667,0.000000,0.000000,3.000000,1.000000
3.716251,0.000000,0.633333,0.857143,0.142857,0.000000,0.000000,3.000000,1.000000
2.588397,0.000000,0.645161,0.875000,0.125000,0.000000,0.000000,3.000000,1.000000
3.997726,0.000000,0.656250,0.888889,0.111111,0.000000,0.000000,3.000000,1.000000
3.245786,0.000000,0.666667,0.900000,0.100000,0.000000,0.000000,3.000000,1.000000
3.098963,0.000000,0.676471,0.909091,0.090909,0.000000,0.000000,3.000000,1.000000
2.653991,0.000000,0.685714,0.916667,0.083333,0.000000,0.000000,3.000000,1.000000
3.988869,0.000000,0.694444,0.923077,0.076923,0.000000,0.000000,3.000000,1.000000
3.692437,0.000000,0.702703,0.928571,0.071429,0.000000,0.000000,3.000000,1.000000
3.845223,0.000000,0.710526,0.933333,0.066667,0.000000,0.000000,3.000000,1.000000
1.440887,0.000000,0.717949,0.937500,0.062500,0.000000,0.000000,3.000000,1.000000
2.053415,0.000000,0.725000,0.941176,0.058824,0.000000,0.000000,3.000000,1.000000
0.000000,4.477460,0.707317,0.888889,0.111111,0.000000,1.000000,3.000000,1.000000
2.134723,0.000000,0.714286,0.894737,0.105263,0.000000,1.000000,3.000000,1.000000
0.471508,0.000000,0.720930,0.900000,0.100000,0.000000,0.000000,3.000000,1.000000
0.000000,2.908251,0.727273,0.000000,1.000000,1.000000,1.000000,3.000000,1.000000
0.000000,4.059772,0.733333,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
0.000000,2.829799,0.739130,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
0.000000,2.014955,0.744681,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
0.000000,3.688951,0.750000,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
0.000000,3.603138,0.755102,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
5.290324,0.000000,0.740000,0.142857,0.857143,0.000000,1.000000,3.000000,1.000000
1.848088,0.000000,0.725490,0.250000,0.750000,0.000000,0.000000,3.000000,1.000000
3.812424,0.000000,0.711538,0.333333,0.666667,0.000000,0.000000,3.000000,1.000000
0.000000,3.539560,0.716981,0.300000,0.700000,0.000000,1.000000,3.000000,1.000000
0.000000,4.430368,0.722222,0.272727,0.727273,0.000000,0.000000,3.000000,1.000000
0.000000,2.330957,0.727273,0.250000,0.750000,0.000000,0.000000,3.000000,1.000000
1.725564,0.000000,0.714286,0.307692,0.692308,0.000000,1.000000,3.000000,1.000000
0.000000,3.784810,0.719298,0.285714,0.714286,0.000000,1.000000,3.000000,1.000000
0.000000,3.990778,0.724138,0.266667,0.733333,0.000000,0.000000,3.000000,1.000000
4.641854,0.000000,0.711864,0.312500,0.687500,0.000000,1.000000,3.000000,1.000000
0.000000,2.262542,0.716667,0.294118,0.705882,0.000000,1.000000,3.000000,1.000000
2.354068,0.000000,0.704918,0.333333,0.666667,0.000000,1.000000,3.000000,1.000000
0.000000,0.667632,0.709677,0.315789,0.684211,0.000000,1.000000,3.000000,1.000000
2.809588,0.000000,0.698413,0.350000,0.650000,0.000000,1.000000,3.000000,1.000000
0.000000,2.990344,0.703125,0.333333,0.666667,0.000000,1.000000,3.000000,1.000000
0.000000,2.897718,0.707692,0.318182,0.681818,0.000000,0.000000,3.000000,1.000000
0.000000,1.237266,0.712121,0.304348,0.695652,0.000000,0.000000,3.000000,1.000000
4.441223,0.000000,0.701493,0.333333,0.666667,0.000000,1.000000,3.000000,1.000000
2.952302,0.000000,0.705882,1.000000,0.000000,1.000000,0.000000,3.000000,1.000000
0.000000,4.088756,0.695652,0.500000,0.500000,0.000000,1.000000,3.000000,1.000000
2.561261,0.000000,0.700000,0.666667,0.333333,0.000000,1.000000,3.000000,1.000000
2.846068,0.000000,0.704225,0.750000,0.250000,0.000000,0.000000,3.000000,1.000000
1.271210,0.000000,0.708333,0.800000,0.200000,0.000000,0.000000,3.000000,1.000000
3.593666,0.000000,0.712329,0.833333,0.166667,0.000000,0.000000,3.000000,1.000000
3.027542,0.000000,0.716216,0.857143,0.142857,0.000000,0.000000,3.000000,1.000000
0.000000,2.231490,0.706667,0.750000,0.250000,0.000000,1.000000,3.000000,1.000000
0.000000,1.399336,0.697368,0.666667,0.333333,0.000000,0.000000,3.000000,1.000000
2.516274,0.000000,0.701299,0.700000,0.300000,0.000000,1.000000,3.000000,1.000000
2.136000,0.000000,0.705128,0.727273,0.272727,0.000000,0.000000,3.000000,1.000000
2.963850,0.000000,0.708861,0.750000,0.250000,0.000000,0.000000,3.000000,1.000000
3.874757,0.000000,0.712500,0.769231,0.230769,0.000000,0.000000,3.000000,1.000000
0.000000,4.156140,0.703704,0.714286,0.285714,0.000000,1.000000,3.000000,1.000000
1.618322,0.000000,0.707317,0.733333,0.266667,0.000000,1.000000,3.000000,1.000000
3.370952,0.000000,0.710843,0.750000,0.250000,0.000000,0.000000,3.000000,1.000000
0.000000,2.031428,0.702381,0.705882,0.294118,0.000000,1.000000,3.000000,1.000000
0.000000,3.850654,0.694118,0.666667,0.333333,0.000000,0.000000,3.000000,1.000000
4.238750,0.000000,0.697674,0.684211,0.315789,0.000000,1.000000,3.000000,1.000000
3.952676,0.000000,0.701149,0.700000,0.300000,0.000000,0.000000,3.000000,1.000000
2.998295,0.000000,0.704545,0.714286,0.285714,0.000000,0.000000,3.000000,1.000000
0.000000,0.968053,0.696629,0.681818,0.318182,0.000000,1.000000,3.000000,1.000000
4.010430,0.000000,0.700000,0.695652,0.304348,0.000000,1.000000,3.000000,1.000000
2.677451,0.000000,0.692308,1.000000,0.000000,1.000000,0.000000,3.000000,1.000000
2.459695,0.000000,0.684783,1.000000,0.000000,0.000000,0.000000,3.000000,1.000000
0.000000,3.108814,0.688172,0.666667,0.333333,0.000000,1.000000,3.000000,1.000000
0.000000,3.480900,0.691489,0.500000,0.500000,0.000000,0.000000,3.000000,1.000000
0.000000,3.988110,0.694737,0.400000,0.600000,0.000000,0.000000,3.000000,1.000000
0.000000,0.907791,0.697917,0.333333,0.666667,0.000000,0.000000,3.000000,1.000000
0.000000,2.670580,0.701031,0.285714,0.714286,0.000000,0.000000,3.000000,1.000000
0.000000,2.672386,0.704082,0.250000,0.750000,0.000000,0.000000,3.000000,1.000000
2.470986,0.000000,0.696970,0.333333,0.666667,0.000000,1.000000,3.000000,1.000000
2.280952,0.000000,0.690000,0.400000,0.600000,0.000000,0.000000,3.000000,1.000000
0.000000,3.409148,0.693069,0.363636,0.636364,0.000000,1.000000,3.000000,1.000000
0.000000,1.726004,0.696078,0.333333,0.666667,0.000000,0.000000,3.000000,1.000000
0.000000,2.210225,0.699029,0.307692,0.692308,0.000000,0.000000,3.000000,1.000000
0.000000,4.213824,0.701923,0.285714,0.714286,0.000000,0.000000,3.000000,1.000000
1.597828,0.000000,0.695238,0.333333,0.666667,0.000000,1.000000,3.000000,1.000000
0.000000,2.974027,0.698113,0.312500,0.687500,0.000000,1.000000,3.000000,1.000000
0.000000,4.625183,0.700935,0.294118,0.705882,0.000000,0.000000,3.000000,1.000000
3.991180,0.000000,0.694444,0.333333,0.666667,0.000000,1.000000,3.000000,1.000000
0.000000,3.080639,0.688073,0.000000,1.000000,1.000000,1.000000,3.000000,1.000000
1.105915,0.000000,0.690909,0.500000,0.500000,0.000000,1.000000,3.000000,1.000000
0.000000,2.775075,0.684685,0.333333,0.666667,0.000000,1.000000,3.000000,1.000000
3.356108,0.000000,0.687500,0.500000,0.500000,0.000000,1.000000,3.000000,1.000000
2.223987,0.000000,0.690265,0.600000,0.400000,0.000000,0.000000,3.000000,1.000000
0.000000,1.941410,0.684211,0.500000,0.500000,0.000000,1.000000,3.000000,1.000000
0.000000,2.684464,0.678261,0.428571,0.571429,0.000000,0.000000,3.000000,1.000000
1.403354,0.000000,0.681034,0.500000,0.500000,0.000000,1.000000,3.000000,1.000000
3.465560,0.000000,0.683761,0.555556,0.444444,0.000000,0.000000,3.000000,1.000000
3.569767,0.000000,0.686441,0.600000,0.400000,0.000000,0.000000,3.000000,1.000000
1.780370,0.000000,0.689076,0.636364,0.363636,0.000000,0.000000,3.000000,1.000000
0.000000,3.555361,0.683333,0.583333,0.416667,0.000000,1.000000,3.000000,1.000000
2.073251,0.000000,0.685950,0.615385,0.384615,0.000000,1.000000,3.000000,1.000000
4.178254,0.000000,0.688525,0.642857,0.357143,0.000000,0.000000,3.000000,1.000000
0.000000,2.333527,0.691057,0.000000,1.000000,1.000000,1.000000,3.000000,1.000000
0.000000,3.500437,0.693548,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
0.000000,2.237856,0.696000,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
0.000000,2.542841,0.698413,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
0.000000,3.174552,0.700787,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
0.000000,1.921234,0.703125,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
0.000000,4.212328,0.705426,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
3.699119,0.000000,0.700000,0.125000,0.875000,0.000000,1.000000,3.000000,1.000000
0.000000,3.438238,0.702290,0.111111,0.888889,0.000000,1.000000,3.000000,1.000000
1.128957,0.000000,0.696970,0.200000,0.800000,0.000000,1.000000,3.000000,1.000000
0.000000,3.248930,0.699248,0.181818,0.818182,0.000000,1.000000,3.000000,1.000000
0.000000,2.590526,0.701493,0.166667,0.833333,0.000000,0.000000,3.000000,1.000000
0.000000,2.452884,0.703704,0.153846,0.846154,0.000000,0.000000,3.000000,1.000000
0.000000,1.951569,0.705882,0.142857,0.857143,0.000000,0.000000,3.000000,1.000000
0.000000,1.963219,0.708029,0.133333,0.866667,0.000000,0.000000,3.000000,1.000000
1.336276,0.000000,0.710145,1.000000,0.000000,1.000000,1.000000,3.000000,1.000000
3.971520,0.000000,0.712230,1.000000,0.000000,0.000000,0.000000,3.000000,1.000000
3.789159,0.000000,0.714286,1.000000,0.000000,0.000000,0.000000,3.000000,1.000000
2.878580,0.000000,0.716312,1.000000,0.000000,0.000000,0.000000,3.000000,1.000000
2.187972,0.000000,0.718310,1.000000,0.000000,0.000000,0.000000,3.000000,1.000000
0.000000,3.316875,0.713287,0.833333,0.166667,0.000000,1.000000,3.000000,1.000000
0.000000,3.389297,0.708333,0.714286,0.285714,0.000000,0.000000,3.000000,1.000000
0.000000,4.742671,0.703448,0.625000,0.375000,0.000000,0.000000,3.000000,1.000000
1.698171,0.000000,0.705479,0.666667,0.333333,0.000000,1.000000,3.000000,1.000000
3.161066,0.000000,0.707483,0.700000,0.300000,0.000000,0.000000,3.000000,1.000000
1.667001,0.000000,0.709459,0.727273,0.272727,0.000000,0.000000,3.000000,1.000000
2.522896,0.000000,0.711409,0.750000,0.250000,0.000000,0.000000,3.000000,1.000000
4.023459,0.000000,0.713333,0.769231,0.230769,0.000000,0.000000,3.000000,1.000000
0.000000,1.885531,0.708609,0.714286,0.285714,0.000000,1.000000,3.000000,1.000000
0.000000,3.424445,0.703947,0.666667,0.333333,0.000000,0.000000,3.000000,1.000000
4.095919,0.000000,0.705882,0.687500,0.312500,0.000000,1.000000,3.000000,1.000000
0.000000,4.616868,0.701299,0.647059,0.352941,0.000000,1.000000,3.000000,1.000000
2.130376,0.000000,0.703226,0.666667,0.333333,0.000000,1.000000,3.000000,1.000000
4.857945,0.000000,0.698718,1.000000,0.000000,1.000000,0.000000,3.000000,1.000000
0.000000,2.498950,0.700637,0.500000,0.500000,0.000000,1.000000,3.000000,1.000000
0.000000,2.368631,0.702532,0.333333,0.666667,0.000000,0.000000,3.000000,1.000000
0.000000,1.690795,0.704403,0.250000,0.750000,0.000000,0.000000,3.000000,1.000000
0.000000,3.046860,0.706250,0.200000,0.800000,0.000000,0.000000,3.000000,1.000000
0.000000,3.964026,0.708075,0.166667,0.833333,0.000000,0.000000,3.000000,1.000000
3.123089,0.000000,0.703704,0.285714,0.714286,0.000000,1.000000,3.000000,1.000000
0.000000,1.932930,0.705521,0.250000,0.750000,0.000000,1.000000,3.000000,1.000000
2.297801,0.000000,0.701220,0.333333,0.666667,0.000000,1.000000,3.000000,1.000000
0.000000,2.761923,0.703030,0.300000,0.700000,0.000000,1.000000,3.000000,1.000000
2.355225,0.000000,0.698795,0.363636,0.636364,0.000000,1.000000,3.000000,1.000000
0.000000,3.036076,0.700599,0.333333,0.666667,0.000000,1.000000,3.000000,1.000000
2.344791,0.000000,0.696429,0.384615,0.615385,0.000000,1.000000,3.000000,1.000000
0.000000,3.318749,0.698225,0.357143,0.642857,0.000000,1.000000,3.000000,1.000000
0.000000,3.160746,0.700000,0.333333,0.666667,0.000000,0.000000,3.000000,1.000000
0.000000,2.453539,0.701754,0.312500,0.687500,0.000000,0.000000,3.000000,1.000000
0.000000,3.593276,0.703488,0.294118,0.705882,0.000000,0.000000,3.000000,1.000000
3.438447,0.000000,0.699422,0.333333,0.666667,0.000000,1.000000,3.000000,1.000000
3.149189,0.000000,0.695402,0.368421,0.631579,0.000000,0.000000,3.000000,1.000000
0.000000,2.784646,0.697143,0.350000,0.650000,0.000000,1.000000,3.000000,1.000000
0.000000,3.189672,0.698864,0.333333,0.666667,0.000000,0.000000,3.000000,1.000000
0.000000,5.062631,0.700565,0.318182,0.681818,0.000000,0.000000,3.000000,1.000000
2.673486,0.000000,0.696629,0.347826,0.652174,0.000000,1.000000,3.000000,1.000000
4.148338,0.000000,0.692737,0.375000,0.625000,0.000000,0.000000,3.000000,1.000000
0.000000,1.070352,0.694444,0.360000,0.640000,0.000000,1.000000,3.000000,1.000000
0.000000,3.707279,0.690608,0.000000,1.000000,1.000000,0.000000,3.000000,1.000000
0.000000,2.932066,0.686813,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
0.000000,0.517694,0.683060,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
0.000000,2.147319,0.679348,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
1.985613,0.000000,0.681081,0.200000,0.800000,0.000000,1.000000,3.000000,1.000000
3.623435,0.000000,0.682796,0.333333,0.666667,0.000000,0.000000,3.000000,1.000000
3.352180,0.000000,0.684492,0.428571,0.571429,0.000000,0.000000,3.000000,1.000000
3.505209,0.000000,0.686170,0.500000,0.500000,0.000000,0.000000,3.000000,1.000000
0.000000,4.260039,0.682540,0.444444,0.555556,0.000000,1.000000,3.000000,1.000000
0.000000,2.883630,0.678947,0.400000,0.600000,0.000000,0.000000,3.000000,1.000000
2.970086,0.000000,0.680628,0.454545,0.545455,0.000000,1.000000,3.000000,1.000000
0.000000,3.314651,0.677083,0.416667,0.583333,0.000000,1.000000,3.000000,1.000000
2.265958,0.000000,0.678756,0.461538,0.538462,0.000000,1.000000,3.000000,1.000000
2.342330,0.000000,0.680412,0.500000,0.500000,0.000000,0.000000,3.000000,1.000000
2.718709,0.000000,0.682051,0.533333,0.466667,0.000000,0.000000,3.000000,1.000000
3.177621,0.000000,0.683673,0.562500,0.437500,0.000000,0.000000,3.000000,1.000000
4.311766,0.000000,0.685279,0.588235,0.411765,0.000000,0.000000,3.000000,1.000000
3.181526,0.000000,0.686869,0.611111,0.388889,0.000000,0.000000,3.000000,1.000000
0.000000,4.728977,0.683417,0.578947,0.421053,0.000000,1.000000,3.000000,1.000000
3.414052,0.000000,0.685000,0.600000,0.400000,0.000000,1.000000,3.000000,1.000000
2.341685,0.000000,0.686567,0.619048,0.380952,0.000000,0.000000,3.000000,1.000000
0.000000,4.008228,0.683168,0.590909,0.409091,0.000000,1.000000,3.000000,1.000000
3.392338,0.000000,0.684729,0.608696,0.391304,0.000000,1.000000,3.000000,1.000000
3.513108,0.000000,0.686275,0.625000,0.375000,0.000000,0.000000,3.000000,1.000000
0.000000,3.275002,0.682927,0.600000,0.400000,0.000000,1.000000,3.000000,1.000000
0.000000,3.699180,0.679612,0.576923,0.423077,0.000000,0.000000,3.000000,1.000000
3.774382,0.000000,0.681159,0.592593,0.407407,0.000000,1.000000,3.000000,1.000000
4.110364,0.000000,0.677885,1.000000,0.000000,1.000000,0.000000,3.000000,1.000000
3.142463,0.000000,0.674641,1.000000,0.000000,0.000000,0.000000,3.000000,1.000000
0.000000,2.256954,0.676190,0.666667,0.333333,0.000000,1.000000,3.000000,1.000000
3.340836,0.000000,0.672986,0.750000,0.250000,0.000000,1.000000,3.000000,1.000000
0.000000,1.319322,0.674528,0.600000,0.400000,0.000000,1.000000,3.000000,1.000000
0.000000,1.808495,0.676056,0.500000,0.500000,0.000000,0.000000,3.000000,1.000000
0.000000,2.723171,0.677570,0.428571,0.571429,0.000000,0.000000,3.000000,1.000000
2.410327,0.000000,0.674419,0.500000,0.500000,0.000000,1.000000,3.000000,1.000000
4.518334,0.000000,0.671296,0.555556,0.444444,0.000000,0.000000,3.000000,1.000000
0.000000,4.296791,0.672811,0.500000,0.500000,0.000000,1.000000,3.000000,1.000000
2.356873,0.000000,0.669725,0.545455,0.454545,0.000000,1.000000,3.000000,1.000000
0.905039,0.000000,0.666667,0.583333,0.416667,0.000000,0.000000,3.000000,1.000000
2.927436,0.000000,0.663636,0.615385,0.384615,0.000000,0.000000,3.000000,1.000000
0.000000,4.699718,0.665158,0.571429,0.428571,0.000000,1.000000,3.000000,1.000000
3.608086,0.000000,0.662162,0.600000,0.400000,0.000000,1.000000,3.000000,1.000000
2.648037,0.000000,0.659193,0.625000,0.375000,0.000000,0.000000,3.000000,1.000000
0.000000,4.538879,0.660714,0.588235,0.411765,0.000000,1.000000,3.000000,1.000000
0.000000,4.350906,0.662222,0.555556,0.444444,0.000000,0.000000,3.000000,1.000000
0.000000,4.058242,0.663717,0.526316,0.473684,0.000000,0.000000,3.000000,1.000000
0.000000,2.765964,0.665198,0.500000,0.500000,0.000000,0.000000,3.000000,1.000000
0.000000,1.637950,0.662281,0.000000,1.000000,1.000000,0.000000,3.000000,1.000000
4.961600,0.000000,0.663755,0.500000,0.500000,0.000000,1.000000,3.000000,1.000000
3.383979,0.000000,0.665217,0.666667,0.333333,0.000000,0.000000,3.000000,1.000000
2.119945,0.000000,0.666667,0.750000,0.250000,0.000000,0.000000,3.000000,1.000000
1.120983,0.000000,0.668103,0.800000,0.200000,0.000000,0.000000,3.000000,1.000000
0.000000,3.101458,0.665236,0.666667,0.333333,0.000000,1.000000,3.000000,1.000000
2.491484,0.000000,0.666667,0.714286,0.285714,0.000000,1.000000,3.000000,1.000000
2.688541,0.000000,0.668085,0.750000,0.250000,0.000000,0.000000,3.000000,1.000000
0.000000,2.132611,0.665254,0.666667,0.333333,0.000000,1.000000,3.000000,1.000000
0.000000,2.432637,0.662447,0.600000,0.400000,0.000000,0.000000,3.000000,1.000000
0.000000,3.118270,0.659664,0.545455,0.454545,0.000000,0.000000,3.000000,1.000000
2.899846,0.000000,0.661088,0.583333,0.416667,0.000000,1.000000,3.000000,1.000000
0.000000,3.678801,0.658333,0.538462,0.461538,0.000000,1.000000,3.000000,1.000000
1.923179,0.000000,0.659751,0.571429,0.428571,0.000000,1.000000,3.000000,1.000000
2.307013,0.000000,0.661157,0.600000,0.400000,0.000000,0.000000,3.000000,1.000000
4.150500,0.000000,0.662551,0.625000,0.375000,0.000000,0.000000,3.000000,1.000000
0.000000,3.947325,0.659836,0.588235,0.411765,0.000000,1.000000,3.000000,1.000000
0.000000,1.921242,0.657143,0.555556,0.444444,0.000000,0.000000,3.000000,1.000000
0.000000,3.659131,0.654472,0.526316,0.473684,0.000000,0.000000,3.000000,1.000000
0.000000,3.276583,0.651822,0.500000,0.500000,0.000000,0.000000,3.000000,1.000000
4.542404,0.000000,0.653226,0.523810,0.476190,0.000000,1.000000,3.000000,1.000000
0.000000,3.250319,0.650602,0.500000,0.500000,0.000000,1.000000,3.000000,1.000000
3.788272,0.000000,0.652000,0.521739,0.478261,0.000000,1.000000,3.000000,1.000000
1.857575,0.000000,0.653386,0.541667,0.458333,0.000000,0.000000,3.000000,1.000000
0.000000,4.099011,0.650794,0.520000,0.480000,0.000000,1.000000,3.000000,1.000000
3.810364,0.000000,0.652174,0.538462,0.461538,0.000000,1.000000,3.000000,1.000000
3.696000,0.000000,0.653543,0.555556,0.444444,0.000000,0.000000,3.000000,1.000000
2.403571,0.000000,0.654902,0.571429,0.428571,0.000000,0.000000,3.000000,1.000000
1.926869,0.000000,0.656250,0.586207,0.413793,0.000000,0.000000,3.000000,1.000000
5.036151,0.000000,0.653696,1.000000,0.000000,1.000000,0.000000,3.000000,1.000000
0.000000,1.005963,0.655039,0.500000,0.500000,0.000000,1.000000,3.000000,1.000000
3.107066,0.000000,0.652510,0.666667,0.333333,0.000000,1.000000,3.000000,1.000000
0.000000,3.516969,0.653846,0.500000,0.500000,0.000000,1.000000,3.000000,1.000000
3.531449,0.000000,0.651341,0.600000,0.400000,0.000000,1.000000,3.000000,1.000000
0.000000,1.863523,0.652672,0.500000,0.500000,0.000000,1.000000,3.000000,1.000000
2.354558,0.000000,0.650190,0.571429,0.428571,0.000000,1.000000,3.000000,1.000000
2.792372,0.000000,0.647727,0.625000,0.375000,0.000000,0.000000,3.000000,1.000000
5.304683,0.000000,0.645283,0.666667,0.333333,0.000000,0.000000,3.000000,1.000000
1.777555,0.000000,0.642857,0.700000,0.300000,0.000000,0.000000,3.000000,1.000000
0.000000,3.089915,0.644195,0.636364,0.363636,0.000000,1.000000,3.000000,1.000000
3.892361,0.000000,0.641791,0.666667,0.333333,0.000000,1.000000,3.000000,1.000000
0.000000,1.497770,0.643123,0.615385,0.384615,0.000000,1.000000,3.000000,1.000000
0.000000,3.331324,0.644444,0.571429,0.428571,0.000000,0.000000,3.000000,1.000000
0.000000,2.324164,0.645756,0.533333,0.466667,0.000000,0.000000,3.000000,1.000000
0.000000,1.688881,0.643382,0.000000,1.000000,1.000000,0.000000,3.000000,1.000000
1.751155,0.000000,0.644689,0.500000,0.500000,0.000000,1.000000,3.000000,1.000000
3.845087,0.000000,0.645985,0.666667,0.333333,0.000000,0.000000,3.000000,1.000000
0.000000,2.847434,0.643636,0.500000,0.500000,0.000000,1.000000,3.000000,1.000000
0.000000,3.446316,0.641304,0.400000,0.600000,0.000000,0.000000,3.000000,1.000000
4.762910,0.000000,0.642599,0.500000,0.500000,0.000000,1.000000,3.000000,1.000000
4.050976,0.000000,0.643885,0.571429,0.428571,0.000000,0.000000,3.000000,1.000000
0.907119,0.000000,0.645161,0.625000,0.375000,0.000000,0.000000,3.000000,1.000000
2.136617,0.000000,0.646429,0.666667,0.333333,0.000000,0.000000,3.000000,1.000000
3.635750,0.000000,0.647687,0.700000,0.300000,0.000000,0.000000,3.000000,1.000000
0.000000,5.639787,0.645390,0.636364,0.363636,0.000000,1.000000,3.000000,1.000000
2.723559,0.000000,0.646643,0.666667,0.333333,0.000000,1.000000,3.000000,1.000000
0.000000,2.984261,0.644366,0.615385,0.384615,0.000000,1.000000,3.000000,1.000000
0.000000,3.086107,0.642105,0.571429,0.428571,0.000000,0.000000,3.000000,1.000000
0.000000,1.696013,0.639860,0.533333,0.466667,0.000000,0.000000,3.000000,1.000000
2.828541,0.000000,0.641115,0.562500,0.437500,0.000000,1.000000,3.000000,1.000000
0.000000,3.228267,0.638889,0.529412,0.470588,0.000000,1.000000,3.000000,1.000000
3.235595,0.000000,0.640138,0.555556,0.444444,0.000000,1.000000,3.000000,1.000000
0.000000,4.501304,0.641379,0.000000,1.000000,1.000000,1.000000,3.000000,1.000000
0.000000,2.603364,0.642612,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
0.000000,2.283671,0.643836,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
3.259211,0.000000,0.641638,0.250000,0.750000,0.000000,1.000000,3.000000,1.000000
0.000000,2.480352,0.642857,0.200000,0.800000,0.000000,1.000000,3.000000,1.000000
0.000000,2.573425,0.644068,0.166667,0.833333,0.000000,0.000000,3.000000,1.000000
0.000000,3.156744,0.645270,0.142857,0.857143,0.000000,0.000000,3.000000,1.000000
3.355190,0.000000,0.643098,0.250000,0.750000,0.000000,1.000000,3.000000,1.000000
0.000000,3.288419,0.644295,0.222222,0.777778,0.000000,1.000000,3.000000,1.000000
4.653279,0.000000,0.642140,0.300000,0.700000,0.000000,1.000000,3.000000,1.000000
0.000000,2.374308,0.643333,0.272727,0.727273,0.000000,1.000000,3.000000,1.000000
0.000000,1.954855,0.644518,0.250000,0.750000,0.000000,0.000000,3.000000,1.000000
0.000000,2.637715,0.645695,0.230769,0.769231,0.000000,0.000000,3.000000,1.000000
2.648019,0.000000,0.643564,0.285714,0.714286,0.000000,1.000000,3.000000,1.000000
0.000000,4.292761,0.644737,0.266667,0.733333,0.000000,1.000000,3.000000,1.000000
0.000000,1.505490,0.645902,0.250000,0.750000,0.000000,0.000000,3.000000,1.000000
0.000000,2.341923,0.647059,0.235294,0.764706,0.000000,0.000000,3.000000,1.000000
4.426077,0.000000,0.644951,0.277778,0.722222,0.000000,1.000000,3.000000,1.000000
0.000000,2.584084,0.642857,0.000000,1.000000,1.000000,1.000000,3.000000,1.000000
