rt, response, subj_idx, cond
0.222,1,0,lc
0.222,1,0,lc
0.222,1,0,lc
0.222,1,0,lc
0.222,1,0,lc
0.222,1,0,lc
0.222,1,0,lc
0.222,1,0,lc
0.222,1,0,lc
0.222,0,0,lc
0.222,0,0,lc
0.222,0,0,lc
0.222,0,0,lc
0.7,0,0,lc
0.532,1,0,lc
0.552,1,0,lc
0.542,1,0,lc
0.542,1,0,lc
0.532,1,0,lc
0.532,1,0,lc
0.532,1,0,lc
0.532,1,0,lc
0.532,1,0,lc
0.532,1,0,lc
0.532,1,0,lc
0.532,1,0,lc
0.532,1,0,lc
0.532,1,0,lc
0.532,1,0,lc
0.532,1,0,lc
0.532,1,0,lc
0.532,0,0,lc
0.6020000000000001,0,0,lc
0.562,0,0,lc
0.542,0,0,lc
0.7,1,0,lc
0.222,1,0,lc
0.222,1,0,lc
0.222,1,0,lc
0.222,1,0,lc
0.222,1,0,lc
0.222,1,0,lc
0.222,1,0,lc
0.222,1,0,lc
0.222,1,0,lc
0.222,1,0,lc
0.222,1,0,lc
0.222,1,0,lc
0.222,1,0,lc
0.222,1,0,lc
0.222,1,0,lc
0.222,1,0,lc
0.222,1,0,lc
0.222,1,0,lc
0.222,1,0,lc
0.222,0,0,lc
0.222,0,0,lc
0.222,0,0,lc
0.222,0,0,lc
