                      mean          std         2.5q          25q          50q          75q        97.5q       mc err
v_subj(lv).12      1.70987     0.179855      1.35861      1.59425      1.70989      1.83484      2.04303   0.00439248
v_subj(lv).13     0.778888     0.103811     0.580708     0.711556     0.777357     0.848692     0.988873   0.00234636
v_subj(lv).14      1.33504     0.161438        1.022      1.23068       1.3316      1.44384      1.65245   0.00351777
v_subj(lv).15      1.52655     0.150822      1.23563       1.4217      1.52342      1.62559      1.83402   0.00305517
v_subj(lv).16      1.60903     0.114829      1.38277      1.52826      1.61181      1.68554      1.84333   0.00277171
v_subj(lv).17       1.5205     0.082507      1.35475      1.46558      1.52104      1.57665      1.68252   0.00203727
v_subj(lv).18      1.27306     0.101846       1.0679        1.205      1.27354      1.34131      1.46952   0.00247793
v_subj(lv).19      1.25954     0.143071     0.982871      1.16302      1.25617      1.35572      1.54716   0.00340206
v_subj(lv).20      1.07709     0.105462       0.8656       1.0053       1.0751      1.15053      1.28392   0.00230536
v_subj(lv).21      1.04145     0.139848     0.764987     0.946034       1.0428        1.138      1.32619   0.00296955
v_subj(lv).22      1.12301     0.125833     0.879402      1.03825      1.12229      1.20842      1.36977   0.00300166
v_subj(lv).23      1.71524     0.113886      1.49217      1.63713      1.71395      1.79481      1.93874   0.00271245
t(hc)             0.186125    0.0293744      0.13253     0.165599      0.18442     0.205223     0.249458   0.00146467
t(hv)             0.185198    0.0302053     0.131259     0.165362     0.182298     0.203684      0.25282   0.00148153
t(lc)              0.18423    0.0297151     0.133159     0.162974     0.181642     0.202914     0.249352   0.00141799
t(lv)             0.184639    0.0293871     0.133452     0.163605     0.183013     0.203402     0.247189   0.00143692
t_std              0.21991    0.0344472     0.164932     0.196197        0.216     0.240727     0.300297   0.00205404
t_subj(hc).0      0.144971   0.00194072     0.141095     0.143681     0.145014     0.146293      0.14869  5.56275e-05
t_subj(hc).1      0.210124  0.000955124     0.208105     0.209498     0.210162     0.210786     0.211923  2.30655e-05
t_subj(hc).2      0.112108   0.00226706      0.10746     0.110624     0.112226     0.113753     0.116184  5.63023e-05
t_subj(hc).3   1.63952e-05  1.91433e-05  7.84139e-08  2.98537e-06  9.55934e-06  2.28703e-05  6.74025e-05   7.7736e-07
t_subj(hc).4      0.217259  0.000945806     0.215338     0.216647     0.217278     0.217918     0.219039  2.27676e-05
t_subj(hc).5      0.180045   0.00136958     0.177239     0.179146     0.180067     0.180993     0.182649  3.39944e-05
