                      mean          std       2.5q        25q         50q        75q      97.5q       mc err
t_subj(hv).781    0.179953   0.00110933   0.177662   0.179231    0.179988   0.180767   0.181944  2.31736e-05
t_subj(hv).782    0.119873    0.0010522   0.117595   0.119208    0.119928   0.120619   0.121775  2.41336e-05
t_subj(hv).783    0.138482   0.00100016   0.136383   0.137825    0.138567   0.139196   0.140247  2.15631e-05
t_subj(hv).784    0.107374   0.00142028    0.10422   0.106503    0.107471   0.108394    0.10979   3.4487e-05
t_subj(lc).761    0.180446   0.00149768   0.177313   0.179477    0.180502   0.181484   0.183228  3.49314e-05
t_subj(lc).762    0.165054   0.00164062   0.161442   0.164027    0.165132   0.166209   0.167955  3.81201e-05
t_subj(lc).763    0.109622   0.00150468   0.106384   0.108717    0.109728     0.1107   0.112249  3.15484e-05
t_subj(lc).764    0.101917   0.00124764  0.0991596   0.101117    0.101993   0.102834   0.104049  2.96679e-05
t_subj(lc).765    0.115412   0.00123786   0.112753   0.114642    0.115518   0.116281   0.117505  2.73785e-05
t_subj(lc).766   0.0960516   0.00086954  0.0941519   0.095516   0.0961338  0.0966711  0.0975652  1.69154e-05
t_subj(lc).767    0.197144   0.00240099    0.19196   0.195579    0.197295   0.198853   0.201527  6.18709e-05
t_subj(lc).768   0.0895374   0.00222595  0.0847168  0.0881427   0.0896316  0.0911173  0.0935346  4.71668e-05
t_subj(lc).769    0.148433   0.00137556   0.145404   0.147576    0.148527   0.149386   0.150837  3.22365e-05
t_subj(lc).770    0.164887   0.00102886   0.162523   0.164274    0.164988    0.16562   0.166604  2.54507e-05
t_subj(lc).771   0.0928869   0.00116424  0.0903764  0.0921627   0.0929715  0.0936981  0.0949627   2.5553e-05
t_subj(lc).772   0.0939838   0.00147073  0.0908641  0.0930587   0.0940907  0.0950406  0.0964821  3.38705e-05
t_subj(lc).773    0.189008   0.00156026   0.185815   0.188013    0.189073   0.190083   0.191819  3.36025e-05
t_subj(lc).774     0.17314   0.00128536   0.170351    0.17234    0.173229   0.174064   0.175429  2.55479e-05
t_subj(lc).775    0.100191   0.00141679  0.0970551  0.0993172    0.100275    0.10118   0.102648  2.82624e-05
t_subj(lc).776    0.140728   0.00178562   0.137073    0.13957    0.140831   0.141944   0.143894  4.34132e-05
t_subj(lc).777     0.16787   0.00138443   0.164917   0.166945    0.167939   0.168875   0.170374  3.05763e-05
t_subj(lc).778    0.111951   0.00141389   0.108846   0.111093    0.112041   0.112936   0.114444  2.86212e-05
t_subj(lc).779    0.110182   0.00113968   0.107727    0.10945    0.110264    0.11099   0.112117  2.22098e-05
t_subj(lc).780    0.217936   0.00140391   0.214937   0.217031    0.218035   0.218927   0.220441   3.1271e-05
t_subj(lc).781    0.160018  0.000897125   0.158077   0.159464    0.160072   0.160642    0.16164  2.25313e-05
t_subj(lc).782     0.12458  0.000976412   0.122519   0.123959    0.124632   0.125297   0.126314  2.07667e-05
t_subj(lc).783    0.159086  0.000850953   0.157297   0.158533    0.159162   0.159694   0.160525  1.76547e-05
t_subj(lc).784    0.128787   0.00138002   0.125744   0.127926    0.128891   0.129787   0.131155  2.77171e-05
t_subj(lv).761    0.150103   0.00080565   0.148341   0.149613    0.150172   0.150659   0.151459  1.66139e-05
t_subj(lv).762    0.147459   0.00106248   0.145172   0.146774    0.147521   0.148222   0.149313  2.24633e-05
t_subj(lv).763   0.0939556   0.00153669  0.0905938  0.0930222   0.0940868  0.0950312  0.0965597  3.36674e-05
t_subj(lv).764    0.102386   0.00130934  0.0995527   0.101615    0.102487   0.103274   0.104718   2.9318e-05
t_subj(lv).765    0.157478   0.00187968   0.153439    0.15628    0.157628   0.158823   0.160771   4.5836e-05
t_subj(lv).766    0.130316   0.00123013   0.127634   0.129531    0.130384   0.131188   0.132535  2.74721e-05
t_subj(lv).767   0.0931619   0.00119756  0.0906208  0.0924192   0.0932985   0.093996  0.0953165  2.54337e-05
t_subj(lv).768   0.0897216   0.00179299  0.0858043  0.0886029   0.0898799  0.0909818  0.0927794  3.49334e-05
t_subj(lv).769    0.106999   0.00117346   0.104543   0.106237     0.10711   0.107789   0.109082  2.54367e-05
t_subj(lv).770     0.18762   0.00142385   0.184547   0.186705     0.18769   0.188645   0.190113  3.52965e-05
t_subj(lv).771    0.119695  0.000930689   0.117621   0.119106    0.119772   0.120348   0.121318  2.07098e-05
t_subj(lv).772    0.096453   0.00132453  0.0936229  0.0956334   0.0965347    0.09735  0.0987948   2.4911e-05
t_subj(lv).773    0.183299   0.00102599   0.181122   0.182674    0.183377   0.184053   0.185087  2.51685e-05
t_subj(lv).774    0.131101  0.000933126   0.129098   0.130527    0.131172   0.131767   0.132703  1.95232e-05
t_subj(lv).775    0.103234   0.00167462  0.0997592   0.102147    0.103343   0.104418   0.106255  3.29804e-05
t_subj(lv).776    0.108767   0.00107537   0.106394    0.10808     0.10884   0.109544   0.110549  2.22865e-05
t_subj(lv).777    0.175497   0.00156254   0.172043   0.174498    0.175592   0.176555   0.178337  3.65493e-05
t_subj(lv).778    0.114896   0.00184118   0.110952   0.113763    0.115004   0.116202   0.118182  3.67052e-05
t_subj(lv).779    0.136442    0.0014255   0.133182   0.135553    0.136589   0.137407   0.138918  3.25292e-05
t_subj(lv).780      0.2359  0.000997149   0.233756   0.235285    0.235941   0.236597   0.237639   2.3924e-05
t_subj(lv).781    0.144699  0.000750549    0.14307   0.144228    0.144763   0.145223   0.146003   1.4761e-05
t_subj(lv).782    0.160875   0.00148371   0.157714   0.159931    0.161005   0.161947   0.163479  3.45813e-05
