                      mean          std        2.5q        25q         50q         75q      97.5q       mc err
t_subj(hc).772   0.0928009   0.00135475    0.089899  0.0919571   0.0928905   0.0937416  0.0951261  3.00947e-05
t_subj(hc).773    0.123914  0.000856044    0.122006   0.123403    0.123979    0.124528    0.12539  1.81486e-05
t_subj(hc).774    0.134533    0.0010232    0.132377   0.133879    0.134642    0.135247   0.136302  2.15447e-05
t_subj(hc).775   0.0898162   0.00178161   0.0860004  0.0886628   0.0899694   0.0911247  0.0929471  4.11364e-05
t_subj(hc).776   0.0934711   0.00143306   0.0904235  0.0925428   0.0936159   0.0945004  0.0959477  3.16718e-05
t_subj(hc).777    0.111423    0.0011125    0.109055   0.110707    0.111515    0.112222   0.113311  2.31979e-05
t_subj(hc).778    0.119463   0.00113511    0.116857   0.118764    0.119559    0.120252    0.12143  2.54909e-05
t_subj(hc).779    0.136019   0.00140553    0.132935   0.135174    0.136123       0.137   0.138458  3.18855e-05
t_subj(hc).780    0.204131   0.00111082      0.2017    0.20346    0.204207    0.204931   0.206061   2.4089e-05
t_subj(hc).781    0.136632  0.000869192    0.134765   0.136108    0.136702    0.137258   0.138145  2.24716e-05
t_subj(hc).782    0.143095   0.00114883    0.140627   0.142403    0.143161    0.143924   0.145072  2.39709e-05
t_subj(hc).783    0.126368  0.000980382    0.124284   0.125745    0.126434     0.12707    0.12808  1.86682e-05
t_subj(hc).784   0.0912765   0.00176741   0.0874922  0.0901428   0.0913775   0.0925428  0.0944467  4.16215e-05
t_subj(hv).761    0.179364     0.001183    0.176663   0.178672    0.179447    0.180167   0.181466  2.56634e-05
t_subj(hv).762    0.134644   0.00124114    0.132007   0.133869    0.134754    0.135547   0.136799  2.72583e-05
t_subj(hv).763     0.08874    0.0020902   0.0842826  0.0874354   0.0889275    0.090241  0.0923361  4.82815e-05
t_subj(hv).764   0.0937831   0.00150641   0.0904991  0.0928601   0.0939015   0.0948712  0.0963777  3.16937e-05
t_subj(hv).765    0.170018   0.00164129     0.16661   0.169009    0.170101    0.171194   0.172856  4.15822e-05
t_subj(hv).766    0.116198    0.0011963    0.113548   0.115486     0.11627    0.117018   0.118343  2.55056e-05
t_subj(hv).767    0.158664   0.00109734    0.156259    0.15798    0.158737    0.159446   0.160559  2.44039e-05
t_subj(hv).768   0.0943015   0.00173044   0.0906711    0.09323   0.0944288   0.0955435  0.0973752  4.05414e-05
t_subj(hv).769    0.115154  0.000949501    0.113157   0.114535    0.115257    0.115838   0.116749  2.11673e-05
t_subj(hv).770    0.119233   0.00111365    0.116918   0.118494    0.119284    0.120047   0.121173  2.43509e-05
t_subj(hv).771    0.138677   0.00117264    0.136069    0.13794    0.138791    0.139512   0.140657  2.40259e-05
t_subj(hv).772   0.0941469   0.00144957   0.0909826  0.0932686   0.0942753   0.0951447  0.0966778  3.48154e-05
t_subj(hv).773    0.160247  0.000899111    0.158352   0.159673    0.160296    0.160875   0.161857  1.95917e-05
t_subj(hv).774    0.104602   0.00114405    0.102014   0.103927    0.104702    0.105403   0.106574  2.33363e-05
t_subj(hv).775   0.0964107   0.00122529   0.0937796  0.0956386   0.0965008   0.0972856  0.0985359  2.50911e-05
t_subj(hv).776   0.0966106   0.00156966   0.0931568  0.0956127    0.096737   0.0977151  0.0993169  3.73157e-05
t_subj(hv).777    0.175719   0.00104554    0.173521    0.17503     0.17576    0.176487   0.177579  2.24911e-05
t_subj(hv).778   0.0947337   0.00221926    0.090193  0.0933414   0.0948846   0.0962428  0.0987142  5.29839e-05
t_subj(hv).779    0.127313    0.0011632    0.124811   0.126609    0.127401    0.128137   0.129262  2.89052e-05
t_subj(hv).780    0.231452   0.00103117     0.22924     0.2308    0.231509    0.232186   0.233252  2.65104e-05
t_subj(hv).781    0.182503   0.00078518    0.180835   0.181998    0.182557    0.183061   0.183889   1.8964e-05
t_subj(hv).782    0.118638   0.00132222    0.115887   0.117803    0.118742    0.119559   0.120995  3.07653e-05
t_subj(hv).783     0.13909  0.000993745    0.136942   0.138441    0.139194    0.139825   0.140789  2.47587e-05
t_subj(hv).784    0.105941   0.00171971    0.102139   0.104883    0.106119    0.107144   0.108821  3.72045e-05
t_subj(lc).761    0.184174   0.00118831     0.18166   0.183417    0.184251    0.184996   0.186266  3.21915e-05
t_subj(lc).762    0.168001    0.0012086     0.16537   0.167253    0.168119    0.168836   0.170102  2.83762e-05
t_subj(lc).763    0.110315    0.0014718    0.107029   0.109401    0.110428    0.111375   0.112856  3.36557e-05
t_subj(lc).764      0.1024   0.00118188   0.0998306   0.101654    0.102471    0.103248   0.104504  2.58305e-05
t_subj(lc).765    0.114782   0.00138467    0.111729   0.113936    0.114909    0.115793   0.117149   3.0208e-05
t_subj(lc).766   0.0951292   0.00104567    0.092778  0.0945086   0.0952246   0.0958503  0.0968772  2.23961e-05
t_subj(lc).767    0.203697   0.00163853    0.200195   0.202632    0.203795    0.204804   0.206655  4.30329e-05
t_subj(lc).768   0.0894794   0.00239539   0.0844819  0.0879922   0.0896135   0.0911572   0.093847  6.49142e-05
t_subj(lc).769    0.149812   0.00124227    0.147168   0.149055    0.149903    0.150697    0.15194  3.04556e-05
t_subj(lc).770    0.166038  0.000840464     0.16422   0.165524    0.166101    0.166651   0.167449  2.03644e-05
t_subj(lc).771   0.0933148   0.00109624   0.0909145  0.0926509   0.0934076   0.0941009   0.095153  2.65632e-05
t_subj(lc).772   0.0952122   0.00134787   0.0925113  0.0943303   0.0953009     0.09615  0.0975949   3.0065e-05
t_subj(lc).773    0.194063  0.000976753    0.191959    0.19348    0.194136    0.194717   0.195784  2.10522e-05
t_subj(lc).774    0.175264   0.00100793    0.173122   0.174616    0.175321    0.175996   0.177003  2.45595e-05
t_subj(lc).775    0.100454   0.00138324    0.097431  0.0995989    0.100577    0.101423    0.10279  3.41648e-05
t_subj(lc).776    0.143668   0.00143977    0.140424   0.142792    0.143801     0.14466   0.146083  3.61299e-05
t_subj(lc).777    0.168803   0.00139708    0.165929   0.167931    0.168861    0.169781   0.171323  3.47126e-05
t_subj(lc).778    0.111225   0.00162926    0.107605   0.110223    0.111372    0.112395   0.113919  3.86483e-05
t_subj(lc).779     0.10901   0.00133972    0.106074   0.108163    0.109104    0.109966   0.111428  3.13962e-05
t_subj(lc).780    0.220047   0.00109822    0.217584   0.219386    0.220172     0.22083   0.221899  2.93056e-05
t_subj(lc).781    0.158259   0.00120552    0.155786   0.157501    0.158331    0.159091   0.160399  2.95401e-05
t_subj(lc).782    0.124617   0.00103594    0.122306   0.123976    0.124726    0.125361   0.126344  2.62922e-05
t_subj(lc).783    0.158979  0.000918268    0.156947   0.158431    0.159057    0.159629   0.160537  2.06782e-05
t_subj(lc).784    0.127706   0.00165017    0.123968    0.12667    0.127775    0.128886   0.130529  3.55446e-05
t_subj(lv).761     0.14943   0.00101577    0.147139   0.148789    0.149536    0.150149   0.151155   2.4164e-05
t_subj(lv).762    0.148369   0.00095342    0.146225   0.147784    0.148462    0.149062   0.149991  2.13982e-05
t_subj(lv).763   0.0958321   0.00125428   0.0931179  0.0950517   0.0959358   0.0967223  0.0980335  2.71855e-05
t_subj(lv).764    0.102343   0.00136105   0.0993381    0.10151    0.102477    0.103274   0.104639  3.00072e-05
t_subj(lv).765    0.156672   0.00218213    0.151854   0.155347     0.15685    0.158257   0.160361  5.29158e-05
t_subj(lv).766    0.130948   0.00120938    0.128275   0.130177    0.131045     0.13183   0.132976  2.55253e-05
t_subj(lv).767   0.0909215   0.00153464   0.0875098  0.0899348   0.0910726   0.0919952  0.0936021  3.60483e-05
t_subj(lv).768   0.0900622   0.00184171   0.0863666  0.0888582   0.0901575   0.0913819  0.0933476  4.56513e-05
t_subj(lv).769    0.106358   0.00132223    0.103388   0.105559    0.106446    0.107291   0.108623  3.22691e-05
t_subj(lv).770    0.192212  0.000617431    0.190843   0.191828    0.192275     0.19265   0.193247   1.4687e-05
t_subj(lv).771    0.119265   0.00100344    0.117043   0.118632    0.119373    0.119987   0.120967   2.1159e-05
t_subj(lv).772   0.0957031   0.00149105   0.0924987  0.0947625   0.0958024   0.0967536  0.0983959  3.56612e-05
t_subj(lv).773    0.184075   0.00089749     0.18209    0.18349    0.184134    0.184726   0.185645  2.33325e-05
t_subj(lv).774    0.130073   0.00112037    0.127627   0.129356    0.130166    0.130877   0.131998  2.28362e-05
t_subj(lv).775    0.103294   0.00170652   0.0996389   0.102247     0.10344    0.104494   0.106267  3.77062e-05
t_subj(lv).776    0.109144   0.00108004    0.106788   0.108464    0.109249    0.109915   0.110942  2.30103e-05
