                      mean          std       2.5q        25q         50q        75q      97.5q       mc err
v_subj(lc).783     2.23238     0.116471    2.00629    2.15256     2.23087    2.31073    2.46342   0.00312753
v_subj(lc).784    0.639134    0.0836975   0.472993   0.584519    0.639631   0.693254   0.806632    0.0019987
v_subj(lv).761     2.92168     0.123873    2.67116    2.83854      2.9244    3.00508    3.16703   0.00335025
v_subj(lv).762     1.42134     0.110644    1.20283    1.34753     1.42515    1.49333    1.63502   0.00276895
v_subj(lv).763    0.304698    0.0987226   0.109304   0.241748    0.304782    0.36899   0.500276   0.00249469
v_subj(lv).764     0.73869    0.0936609   0.555933   0.675528    0.738516   0.801104    0.92076   0.00226798
v_subj(lv).765     1.40988    0.0831866    1.24675    1.35312     1.40932    1.46466    1.56701   0.00202884
v_subj(lv).766     2.11539     0.113373    1.89752    2.04008     2.11242    2.19328    2.33823   0.00259886
v_subj(lv).767    0.898883    0.0825158   0.741838   0.842731    0.898995   0.954961    1.06617   0.00198527
v_subj(lv).768    0.121168    0.0844641 -0.0503769  0.0644779    0.121858   0.179258   0.287691   0.00210984
v_subj(lv).769     1.20747    0.0958914    1.01016     1.1448     1.20868    1.26925    1.39999   0.00249629
v_subj(lv).770     2.82351     0.144552    2.53763    2.72533     2.82397    2.91668    3.11132   0.00416123
v_subj(lv).771   0.0892476     0.100541  -0.100848  0.0188567   0.0878587   0.155993   0.293041    0.0023552
v_subj(lv).772  0.00457475    0.0886232  -0.171509 -0.0555006  0.00692239  0.0648507   0.180514   0.00218505
v_subj(lv).773     2.50602     0.128764    2.25259    2.41459     2.50649    2.59205    2.75741   0.00301574
v_subj(lv).774     1.06893     0.101768   0.872301   0.999577     1.07154     1.1381    1.26952   0.00260618
v_subj(lv).775   0.0374497    0.0923038  -0.148034 -0.0230645   0.0378964  0.0988423   0.218103   0.00246285
v_subj(lv).776      1.6338     0.100752    1.43099    1.56638     1.63497    1.70241    1.83384   0.00258006
v_subj(lv).777     2.47645     0.125748    2.23033    2.39131     2.47787     2.5641    2.70983   0.00323584
v_subj(lv).778     2.01746    0.0995173    1.82164    1.95185      2.0168    2.08451    2.21616   0.00242655
v_subj(lv).779      1.5809     0.107533    1.35938    1.51227     1.58146    1.65318    1.79168   0.00258907
v_subj(lv).780     1.45266     0.108393    1.24588    1.37691     1.45215    1.52401    1.66571   0.00284152
v_subj(lv).781     2.08875      0.13094     1.8256    2.00095     2.09289    2.17618    2.34513   0.00336269
v_subj(lv).782    0.913486    0.0959198   0.721124   0.848702    0.913756   0.977532    1.09847   0.00221767
