                      mean          std         2.5q          25q          50q          75q        97.5q       mc err
v_subj(hc).10     0.219456     0.105967    0.0178527     0.145179     0.222134     0.291795     0.429206   0.00214628
v_subj(hc).11    0.0694587     0.148044    -0.221101   -0.0319306    0.0721434     0.172318     0.350542   0.00367426
v_subj(hc).12     0.956803     0.163011     0.627201     0.850368     0.959194      1.06831      1.27306   0.00402415
v_subj(hc).13     0.641988     0.100554     0.450591     0.573273     0.641355     0.710364     0.834418   0.00232181
v_subj(hc).14     0.933674      0.16523     0.605237     0.824648     0.938406      1.04363      1.25501   0.00335625
v_subj(hc).15     0.662603     0.138393     0.378978      0.57188     0.665574     0.755636     0.929969   0.00334438
v_subj(hc).16     0.445555     0.112405     0.226268     0.369218     0.444584     0.522099     0.659471   0.00271653
v_subj(hc).17      1.15358    0.0896454      0.97604      1.09449      1.15336      1.21443      1.32529   0.00239845
v_subj(hc).18     0.203075    0.0965141     0.023029     0.136565      0.20173     0.269666     0.396112   0.00197427
v_subj(hc).19     0.530541     0.133761      0.26895     0.438666     0.531266     0.622873     0.788549    0.0026599
v_subj(hc).20     0.746361     0.104587     0.545303     0.676186     0.747767     0.818124      0.95556   0.00236441
v_subj(hc).21     0.436228     0.142066      0.16617      0.33819     0.433573     0.536634      0.70849   0.00323112
v_subj(hc).22     0.485451     0.120871     0.238894        0.407     0.490848     0.569329      0.70977   0.00287987
v_subj(hc).23     0.943628     0.105533     0.737431     0.874661     0.944021      1.01716      1.14612   0.00254249
v_subj(hv).0      0.614622     0.112862     0.392282     0.540815     0.614941     0.688565     0.844618   0.00242887
v_subj(hv).1      0.707884      0.14761     0.434991     0.607111     0.705494     0.812412      1.00835    0.0035094
v_subj(hv).2      0.299518     0.101686    0.0932119     0.234294     0.297907     0.368478     0.493961   0.00244324
v_subj(hv).3      0.511984    0.0867017     0.333385     0.454392      0.51136     0.570742     0.680123   0.00192976
v_subj(hv).4       0.52518     0.165387     0.197451      0.41721     0.529146      0.63773      0.84292   0.00342717
v_subj(hv).5      0.406783     0.130317     0.148196     0.319775     0.407779     0.495499     0.661038   0.00313865
v_subj(hv).6      0.998987     0.164816     0.675744     0.887177     0.996383      1.11158      1.32521   0.00360602
v_subj(hv).7      0.704102      0.16312      0.36836     0.597157     0.708516     0.812005      1.03397    0.0032824
v_subj(hv).8      0.475227     0.111499     0.263989      0.39765     0.474624      0.54814     0.707831   0.00243426
v_subj(hv).9      0.655006     0.123276      0.41155     0.573221     0.652238     0.737608     0.893336   0.00247869
v_subj(hv).10     0.233192     0.108814    0.0287507     0.157226     0.230577      0.30785     0.451225   0.00239399
v_subj(hv).11     0.784622     0.149173     0.489286     0.687959     0.784704     0.882276      1.08145   0.00356591
v_subj(hv).12    0.0255955     0.152307    -0.269828   -0.0769381    0.0238123     0.134598     0.320219   0.00310448
v_subj(hv).13     0.330653     0.100773     0.133901     0.263776     0.330502     0.396353     0.535246   0.00216679
v_subj(hv).14     0.101341     0.173284    -0.241095   -0.0158012     0.103086     0.220159     0.436571   0.00392431
v_subj(hv).15     0.497223     0.136462     0.232624     0.407474      0.49639     0.585375     0.769619   0.00331983
v_subj(hv).16   -0.0906972     0.115951    -0.326767    -0.168127   -0.0879288   -0.0100844     0.137894   0.00244424
v_subj(hv).17      0.45048    0.0853629      0.28129     0.393735     0.451752     0.505764     0.622363   0.00192463
v_subj(hv).18      0.54489    0.0952301      0.36023     0.480536     0.540864      0.60943     0.734561   0.00222122
v_subj(hv).19      0.50837     0.137802     0.235145     0.417548     0.510728     0.597914     0.785101   0.00307791
v_subj(hv).20     0.571665     0.103958     0.367268     0.504236     0.572906     0.638852     0.777851   0.00248259
v_subj(hv).21     0.100878     0.136001    -0.160941   0.00983985     0.101533     0.189053     0.375004   0.00297141
v_subj(hv).22     0.397569     0.119788     0.154386     0.315432     0.394638     0.480232      0.63348   0.00256579
v_subj(hv).23     0.654359     0.108757     0.437915     0.581227     0.655441     0.729473     0.865145    0.0027411
v_subj(lc).0       1.29935     0.117696      1.06903      1.21754      1.29987      1.38132      1.52265   0.00273819
v_subj(lc).1       1.65962     0.151601      1.37364      1.55591      1.65634      1.76091      1.95671   0.00351949
v_subj(lc).2       1.15443     0.107691     0.940584      1.08338      1.15379      1.22841      1.35777   0.00248032
v_subj(lc).3       1.16961    0.0831537      1.00573      1.11401      1.16894      1.22709      1.33883   0.00186941
v_subj(lc).4       2.07612     0.165019      1.74972      1.96731      2.08183      2.18833      2.39893     0.004388
v_subj(lc).5       1.52749     0.128818      1.26529      1.44365      1.53065      1.61449      1.77927   0.00342711
v_subj(lc).6       1.81358     0.174269      1.45536      1.70123      1.81496      1.92549      2.16047   0.00370721
v_subj(lc).7       1.98434     0.184331      1.63717      1.86171      1.98096      2.09755      2.36326   0.00403995
v_subj(lc).8       1.88883     0.123367      1.65634      1.80345      1.88805      1.97013      2.12998    0.0030752
v_subj(lc).9       1.52048     0.139097      1.24761      1.42672      1.52027      1.60971      1.80573   0.00346993
v_subj(lc).10      1.06761     0.107955     0.853525     0.990705      1.07128      1.14049       1.2807   0.00213323
v_subj(lc).11      1.87358     0.174633      1.54657      1.75274      1.87132      1.99465      2.22034   0.00386067
v_subj(lc).12      1.95574     0.193498      1.57999      1.82389      1.95307      2.08726       2.3382   0.00422109
v_subj(lc).13      1.15549     0.100822     0.963724      1.08378      1.15761      1.22429      1.35122   0.00243647
v_subj(lc).14      1.95508     0.187748      1.57731      1.83287      1.95329      2.08038      2.32354   0.00418382
v_subj(lc).15      1.57633     0.149171      1.29103      1.47643      1.57458       1.6797      1.86247   0.00352867
v_subj(lc).16      1.10737     0.116546     0.882387      1.02769      1.10782       1.1871      1.33309   0.00266514
v_subj(lc).17      1.53552    0.0888689      1.36558      1.47289      1.53663      1.59607      1.71025   0.00207799
v_subj(lc).18     0.976359    0.0998135     0.786305      0.90893      0.97379      1.04425      1.17824   0.00240157
v_subj(lc).19      1.51901     0.145413       1.2331      1.42174      1.52026      1.62035      1.80572   0.00332959
v_subj(lc).20      1.00904     0.106297     0.807324     0.937797      1.00893      1.08288      1.21046   0.00220951
v_subj(lc).21      1.67251     0.146585      1.38723      1.57158      1.67486      1.77008       1.9666   0.00326479
v_subj(lc).22      1.34145     0.130268      1.07846      1.25446      1.34476       1.4328      1.58193   0.00294159
v_subj(lc).23       1.7745     0.119578        1.533      1.69444      1.77709      1.85321      2.00501   0.00322099
v_subj(lv).0       1.30888     0.124827      1.06313      1.22653      1.30988      1.39347      1.54961   0.00264594
v_subj(lv).1       2.05971     0.145191      1.77855      1.96316      2.05858      2.15738      2.34881   0.00330784
