                      mean          std         2.5q          25q          50q          75q        97.5q       mc err
v_subj(lv).14      1.23792      0.17956      0.87984      1.11721      1.23845      1.35915      1.58195   0.00432806
v_subj(lv).15      1.42109     0.163029      1.09825      1.31504      1.42271       1.5294       1.7355   0.00378917
v_subj(lv).16      1.45157     0.124215      1.20877      1.37029      1.45171      1.53685       1.6933   0.00277589
v_subj(lv).17      1.49297     0.101066      1.29366      1.42218      1.49431      1.56153      1.69214   0.00285055
v_subj(lv).18      1.15196     0.115266     0.923935      1.07068      1.15481      1.23111      1.37769   0.00307235
v_subj(lv).19      1.21644     0.162999     0.890228      1.11107      1.22003      1.31806      1.53529   0.00472507
v_subj(lv).20      1.03495     0.114731     0.809048     0.956723      1.03546       1.1118      1.26226   0.00314855
v_subj(lv).21     0.991326     0.160077     0.680709     0.881211     0.989748      1.10176      1.29772   0.00430591
v_subj(lv).22      1.03179     0.139994     0.759788      0.93292      1.03144      1.12804       1.3008    0.0036281
v_subj(lv).23      1.81562     0.134586        1.552      1.72689      1.81555      1.90411       2.0913   0.00439464
t                 0.214941    0.0731712      0.11747     0.165381     0.201979     0.248902     0.390119   0.00509562
t_std             0.291731     0.128603     0.144289     0.205502     0.263227     0.343311     0.599377   0.00916983
t_subj.0           0.14719   0.00113321      0.14491      0.14644     0.147204     0.147958     0.149369  4.21783e-05
t_subj.1          0.208651  0.000615993     0.207383     0.208261      0.20867     0.209063     0.209832  2.40653e-05
t_subj.2          0.108527   0.00145314     0.105446      0.10756     0.108589     0.109545     0.111165  4.79662e-05
t_subj.3       3.99125e-06   5.3203e-06  2.30641e-09  4.92222e-07  1.90973e-06  5.30589e-06  1.87509e-05  2.21319e-07
t_subj.4          0.214647  0.000517101     0.213613     0.214296     0.214675     0.215008     0.215605  1.68546e-05
t_subj.5          0.179267  0.000825042     0.177564     0.178753     0.179302     0.179819     0.180877  2.39307e-05
t_subj.6          0.223217  0.000432479     0.222366     0.222932     0.223232     0.223508      0.22402  1.25521e-05
t_subj.7          0.238892  0.000432627     0.238034     0.238602     0.238883     0.239186     0.239759  1.54262e-05
t_subj.8          0.146422  0.000468154      0.14546     0.146115     0.146441     0.146738     0.147326  9.55604e-06
t_subj.9          0.176237  0.000855878     0.174538     0.175674     0.176257      0.17682     0.177875  2.85429e-05
t_subj.10         0.124077   0.00123767     0.121545     0.123245     0.124133     0.124947     0.126405  4.29182e-05
t_subj.11         0.225719  0.000532814     0.224682     0.225357      0.22572     0.226084     0.226755  1.74367e-05
t_subj.12         0.238957  0.000445209     0.238048     0.238655     0.238967     0.239269     0.239813  1.57584e-05
t_subj.13         0.074369   0.00160044     0.071187    0.0732964    0.0744075    0.0754706    0.0774575  6.49513e-05
t_subj.14         0.234061   0.00038619     0.233263     0.233807     0.234077     0.234331     0.234773  1.11475e-05
t_subj.15         0.200645  0.000732738     0.199186     0.200152     0.200671     0.201149     0.201995   2.7424e-05
t_subj.16         0.136661   0.00125337     0.134079      0.13583     0.136698     0.137537     0.139033  4.24181e-05
t_subj.17      3.62717e-06  4.82362e-06  2.07603e-10  3.87836e-07  1.82424e-06   4.9348e-06   1.7076e-05  1.89384e-07
t_subj.18        0.0829358   0.00172484    0.0794643    0.0818088    0.0830067     0.084131    0.0861721  6.32578e-05
t_subj.19         0.199464  0.000760661     0.197921     0.198961     0.199477     0.199981     0.200922  2.74676e-05
t_subj.20         0.100864   0.00146164    0.0977678    0.0999308     0.100917      0.10186     0.103608  5.44604e-05
t_subj.21         0.200394  0.000702341     0.198994     0.199949     0.200406     0.200876     0.201718  2.39845e-05
t_subj.22          0.17219  0.000971343     0.170215      0.17156     0.172211     0.172869     0.174018  3.05265e-05
t_subj.23         0.115297   0.00054527      0.11417     0.114947     0.115326     0.115682     0.116292  1.32676e-05
z(hc)             0.514492    0.0098669     0.495416     0.507813     0.514518     0.521285     0.533917  0.000205881
z(hv)              0.51861   0.00964087     0.499512     0.512066     0.518447     0.525362     0.536961  0.000221187
z(lc)             0.535093   0.00933289     0.516938     0.528554     0.535082     0.541726     0.553399  0.000223539
z(lv)             0.545147   0.00932052     0.526376      0.53901     0.544978     0.551617     0.563551  0.000215979
z_std              0.17863    0.0133239     0.154723     0.169205      0.17802     0.187477     0.206597  0.000384007
z_subj(hc).0       0.51035      0.01309     0.485403     0.501564     0.510153     0.519253     0.536277  0.000325226
z_subj(hc).1      0.520362    0.0137613     0.493416      0.51149      0.52029      0.52938     0.547294  0.000370746
z_subj(hc).2      0.513298    0.0144562     0.484445     0.503528     0.513554     0.523688     0.541107  0.000362551
z_subj(hc).3      0.524495    0.0153856     0.493289     0.514259     0.524464      0.53515     0.554909  0.000456828
z_subj(hc).4      0.525139    0.0144832     0.496842     0.515377     0.525466     0.535079     0.552175  0.000364184
z_subj(hc).5      0.510609     0.014282     0.481709     0.501256      0.51086     0.520048     0.538567  0.000388866
z_subj(hc).6      0.494324    0.0141749     0.467002     0.484892     0.494249     0.503829     0.522611  0.000358777
z_subj(hc).7       0.57183    0.0122216     0.547758     0.563739     0.571925     0.580056     0.595338  0.000297752
z_subj(hc).8      0.459605    0.0161065     0.428121     0.449078     0.459388     0.470362     0.491991  0.000475064
z_subj(hc).9      0.549687     0.013069     0.524409     0.540621     0.549609     0.558069     0.575983   0.00032012
z_subj(hc).10     0.504894    0.0132524     0.479394     0.495756     0.505042     0.514113     0.530391  0.000307017
z_subj(hc).11     0.498562    0.0130739     0.473349     0.489635     0.498794     0.507568      0.52396  0.000301155
z_subj(hc).12     0.551155    0.0122296     0.527381     0.542708     0.550951       0.5597     0.574877   0.00028249
z_subj(hc).13     0.553447     0.013158     0.526532     0.544583     0.553878      0.56223     0.578992  0.000335973
z_subj(hc).14     0.526031    0.0137317     0.498569     0.516854      0.52616     0.535532     0.551595  0.000328065
z_subj(hc).15     0.565961    0.0128919     0.539719     0.557192     0.566159     0.574711     0.591037  0.000312183
z_subj(hc).16     0.528714    0.0131709     0.501824     0.519966     0.528611     0.537246      0.55623  0.000377184
z_subj(hc).17     0.333183    0.0138767     0.306582     0.323571     0.332874     0.342313     0.361791  0.000362044
z_subj(hc).18      0.52289     0.013483     0.497143     0.513671     0.522724     0.531979     0.548407  0.000315381
z_subj(hc).19     0.520978    0.0130234     0.495387     0.512203     0.521032     0.529858     0.546168  0.000307564
