                      mean          std         2.5q          25q          50q          75q        97.5q       mc err
a_subj(lv).7      0.469107   0.00814102     0.453226     0.463555     0.469032     0.474631     0.485204  0.000244007
a_subj(lv).8      0.847626    0.0174815     0.813899     0.835709     0.847362     0.859597     0.882453   0.00037831
a_subj(lv).9      0.635192    0.0115781     0.612902     0.626992     0.635073     0.643005     0.658066  0.000307205
a_subj(lv).10     0.748088      0.01357      0.72293     0.738562     0.747786     0.757282     0.775787  0.000358064
a_subj(lv).11     0.498866   0.00969245     0.479918     0.492499     0.498833     0.505305     0.517997  0.000232281
a_subj(lv).12     0.446477   0.00827737     0.430327     0.440632     0.446534     0.452103     0.463047   0.00023226
a_subj(lv).13     0.888298    0.0162313     0.857915      0.87706     0.888069     0.899467      0.92077  0.000435539
a_subj(lv).14     0.464959   0.00848315      0.44867     0.459279     0.464927     0.470513     0.481485  0.000205442
a_subj(lv).15     0.583329    0.0114533     0.561993     0.575362     0.583004     0.591046     0.606165  0.000300892
a_subj(lv).16     0.789817    0.0151277     0.761466     0.779104     0.789707     0.800044     0.819542  0.000471976
a_subj(lv).17      1.21279    0.0245959      1.16564      1.19631      1.21247      1.22899      1.26166  0.000624366
a_subj(lv).18     0.909049    0.0177225      0.87489     0.897355     0.908489     0.920972     0.943885  0.000511321
a_subj(lv).19     0.607671    0.0113305      0.58624     0.599908     0.607327     0.615289     0.630374  0.000333713
a_subj(lv).20     0.857371    0.0159627     0.826273     0.846506     0.857051     0.868607     0.887834  0.000448577
a_subj(lv).21     0.609359    0.0111611     0.588133     0.601637     0.609417     0.616656     0.631683  0.000263385
a_subj(lv).22     0.694213    0.0119628     0.670889     0.686296     0.694043     0.702267     0.717949  0.000316062
a_subj(lv).23     0.956983    0.0208235     0.916286     0.943014     0.956656     0.971154     0.999016  0.000458131
v(hc)             0.641328    0.0790508     0.492343     0.586792     0.639612     0.696772      0.79766    0.0018575
v(hv)             0.468203    0.0773321     0.320912     0.414555     0.468007     0.519902      0.62578    0.0016749
v(lc)                1.546     0.079514      1.38621      1.49395       1.5455      1.59906      1.69892   0.00188022
v(lv)              1.43054    0.0790874       1.2773      1.37796      1.43122      1.48221      1.58431   0.00183389
v_std             0.358581    0.0315972     0.303031     0.336789     0.356283      0.37831     0.427116  0.000950031
v_subj(hc).0      0.203491     0.115468   -0.0250649     0.124803     0.202458     0.284656     0.428001    0.0025856
v_subj(hc).1      0.819247     0.138694     0.551126     0.722728     0.818761     0.913911      1.08684   0.00366662
v_subj(hc).2       0.36334     0.101037      0.15888     0.296498     0.365717     0.430732     0.557817   0.00234137
v_subj(hc).3      0.914478    0.0855773     0.745044      0.85864     0.914973     0.973795       1.0785    0.0022601
v_subj(hc).4      0.125992     0.146464    -0.160551    0.0290004     0.124919     0.226578     0.415295   0.00324668
v_subj(hc).5      0.551716     0.127681     0.296248     0.466866     0.553499     0.637996     0.804507   0.00302487
v_subj(hc).6       0.93727     0.150559     0.654214     0.831565      0.93303      1.03892      1.23128   0.00325696
v_subj(hc).7      0.973541     0.166853      0.64568     0.861363     0.974121      1.08783      1.30388   0.00350205
v_subj(hc).8       1.26154     0.119161      1.02529      1.18323      1.26071      1.34087      1.49743   0.00336609
v_subj(hc).9      0.620572       0.1326     0.359325     0.529653     0.620623     0.709627      0.88064   0.00261328
v_subj(hc).10      0.23605     0.108565    0.0250584     0.161748     0.235549     0.309439     0.451188   0.00217656
v_subj(hc).11     0.110013     0.160644    -0.203353   0.00401296     0.109287     0.218149     0.418153   0.00349625
v_subj(hc).12     0.987486     0.159644     0.672104     0.878594     0.988385      1.09536      1.30108   0.00315139
v_subj(hc).13     0.649267    0.0968852     0.460193     0.584534     0.649713     0.712849     0.843003    0.0018168
v_subj(hc).14       0.9628       0.1561     0.658323     0.854426     0.966879       1.0648      1.27604   0.00315182
v_subj(hc).15     0.684255     0.137194     0.418402     0.590086     0.680416     0.777055     0.949276   0.00315961
v_subj(hc).16     0.454407      0.11552     0.221643     0.379411     0.455376     0.531188     0.675106    0.0023525
v_subj(hc).17      1.15683     0.090699     0.977163      1.09416       1.1618      1.21838      1.33059   0.00248817
v_subj(hc).18     0.207035    0.0989783    0.0119214     0.142939     0.208015     0.273298     0.404808   0.00218813
v_subj(hc).19     0.538558     0.136751      0.27352     0.446253      0.54171     0.629356     0.808174   0.00288133
v_subj(hc).20     0.745986     0.103669      0.54043     0.678335     0.746072     0.814173     0.945478   0.00231293
v_subj(hc).21     0.449824     0.138227     0.178186      0.35695     0.449565     0.542338     0.721949   0.00283815
v_subj(hc).22     0.487173     0.123751     0.237681     0.404745     0.486907     0.573309     0.730128   0.00267731
