                      mean          std         2.5q          25q          50q          75q        97.5q       mc err
t_subj.24      2.49049e-06  6.16857e-06  1.83976e-23  2.47352e-10  1.02082e-07  1.79919e-06  2.10507e-05  2.22673e-07
t_subj.25        0.0167708   0.00054702    0.0156392    0.0164174    0.0167967    0.0171538    0.0177766  6.12586e-06
t_subj.26          0.21189  0.000878118     0.210102     0.211307      0.21192     0.212481     0.213536  1.61463e-05
t_subj.27         0.208087  0.000958594     0.206142     0.207437     0.208102     0.208732     0.209943  1.73294e-05
t_subj.28      3.59888e-06  8.13766e-06   8.0393e-21  2.07013e-09  2.38709e-07  2.98084e-06  2.88321e-05  2.77547e-07
t_subj.29         0.142303   0.00122491     0.139843     0.141497     0.142316     0.143147     0.144666  2.24576e-05
t_subj.30      2.38502e-06  6.44287e-06  8.04191e-30  2.27555e-11  3.96486e-08  1.27314e-06  2.10952e-05  2.39777e-07
t_subj.31         0.117917   0.00133169     0.115287     0.117021     0.117929      0.11881     0.120487  1.94031e-05
t_subj.32         0.138163   0.00132567     0.135549     0.137277     0.138162     0.139064      0.14071  2.39461e-05
t_subj.33          0.11881   0.00133859     0.116079     0.117919     0.118848      0.11974     0.121342  2.21304e-05
t_subj.34      2.76163e-06  6.92294e-06  7.75731e-19  2.42217e-09  1.58142e-07  1.95331e-06  2.31874e-05  2.18392e-07
t_subj.35         0.215487  0.000806949     0.213891     0.214944     0.215489     0.216045      0.21706  1.35625e-05
t_subj.36       2.5892e-06  6.86885e-06  1.19135e-16  1.51031e-10  5.44446e-08  1.46987e-06  2.26894e-05   2.3348e-07
t_subj.37          0.14571   0.00155071     0.142657     0.144684     0.145716     0.146761     0.148711  2.42304e-05
t_subj.38        0.0151401  0.000754339    0.0135486    0.0146524    0.0151781    0.0156659    0.0165048  7.19874e-06
t_subj.39         0.164853   0.00195117     0.160965     0.163535     0.164843      0.16618     0.168654  3.31337e-05
t_subj.40         0.209612   0.00172105     0.206159     0.208469     0.209637     0.210801     0.212913  2.95478e-05
t_subj.41      2.37577e-06  6.34877e-06  6.05307e-15  8.01989e-10  7.92009e-08  1.55246e-06  2.10698e-05  2.23883e-07
t_subj.42        0.0149882  0.000808061    0.0132358    0.0144795    0.0150318    0.0155484     0.016435  1.07441e-05
t_subj.43      2.31065e-06  6.06633e-06  2.80083e-17  7.75605e-10  9.40299e-08  1.37672e-06  2.01364e-05  2.13182e-07
t_subj.44          0.11685   0.00205094     0.112674     0.115458     0.116896     0.118288     0.120747  3.22781e-05
t_subj.45        0.0944751   0.00212985     0.090191    0.0930294    0.0945207    0.0959434    0.0984803   3.4326e-05
t_subj.46         0.160337   0.00198678     0.156303      0.15903     0.160363     0.161694     0.164161  3.21125e-05
t_subj.47      1.69807e-06  4.88434e-06  3.73971e-22   1.7546e-10  4.29456e-08  9.64837e-07  1.47271e-05  1.64236e-07
t_subj.48         0.216278    0.0018299     0.212639     0.215072     0.216342     0.217529     0.219772  3.47928e-05
t_subj.49       2.3165e-06  5.85212e-06  3.18151e-14  1.78823e-09  1.23452e-07  1.69161e-06  1.96845e-05  1.81061e-07
DIC: 87077.252994
deviance: 86942.889194
pD: 134.363800
