                     mean          std       2.5q        25q        50q        75q      97.5q       mc err
t_subj(lv).776   0.108672   0.00112725   0.106166   0.107991   0.108808   0.109473   0.110563  2.50426e-05
t_subj(lv).777   0.177072   0.00145141   0.174085   0.176097   0.177165   0.178092   0.179765  3.86301e-05
t_subj(lv).778   0.115256   0.00177865   0.111553   0.114134   0.115401   0.116529   0.118352    4.188e-05
t_subj(lv).779   0.136744   0.00138376   0.133622   0.135898   0.136876   0.137711   0.139085  3.32766e-05
t_subj(lv).780   0.235539   0.00110397   0.233158   0.234841   0.235624   0.236338   0.237478  2.65096e-05
t_subj(lv).781   0.144713  0.000750612   0.143155    0.14423    0.14477    0.14523   0.146044   1.6741e-05
t_subj(lv).782   0.161131   0.00153316   0.157756   0.160165   0.161247   0.162214   0.163788  3.04683e-05
t_subj(lv).783    0.14625  0.000824531   0.144526   0.145725    0.14631   0.146824   0.147695  1.79693e-05
t_subj(lv).784    0.12203   0.00193052   0.117853    0.12082   0.122204   0.123392   0.125377  4.22187e-05
z(hc)            0.427931   0.00817765   0.412188   0.422355   0.428024   0.433464    0.44341  0.000171368
z(hv)            0.434827   0.00818265   0.418801    0.42938   0.434853   0.440293   0.451033  0.000185723
z(lc)            0.465694   0.00816701   0.450219   0.460357   0.465612   0.471111   0.481976  0.000203083
z(lv)            0.449417   0.00810134   0.433369   0.444184   0.449355   0.454956   0.465474  0.000194487
z_std             0.15249    0.0117542   0.130622   0.144405   0.151995   0.160186   0.176133  0.000320678
z_subj(hc).761   0.354886    0.0117933   0.332104   0.347109   0.354583   0.362822   0.378306  0.000271816
z_subj(hc).762   0.411941    0.0118084   0.388741   0.403768   0.412111   0.419756   0.434408  0.000278607
z_subj(hc).763   0.478635    0.0119538    0.45551   0.470266   0.478402   0.487128   0.501457  0.000286479
z_subj(hc).764   0.458048    0.0125815    0.43357   0.449673   0.458369   0.466242   0.483267  0.000291341
z_subj(hc).765   0.392173    0.0124177   0.367386   0.383378   0.392335   0.400639   0.415917  0.000299901
z_subj(hc).766    0.39897    0.0119833     0.3759   0.391193   0.398874   0.406914   0.422592  0.000297977
z_subj(hc).767   0.422247    0.0120626    0.39841   0.414094   0.422317   0.430448   0.445467  0.000299617
z_subj(hc).768   0.487113    0.0121566   0.463435   0.479091   0.486938    0.49482   0.511222  0.000341335
z_subj(hc).769   0.415195    0.0123146   0.391661   0.406488   0.414892   0.423582   0.439758  0.000337341
z_subj(hc).770   0.385706    0.0121379   0.361631   0.377478    0.38583   0.393816   0.409907  0.000253909
z_subj(hc).771    0.51806    0.0119992   0.494834   0.509902   0.517909   0.526094   0.542092  0.000299253
z_subj(hc).772   0.509326    0.0126604   0.484461   0.501189   0.509686   0.517662   0.533925  0.000302853
z_subj(hc).773   0.360306    0.0122303   0.336544   0.352092   0.360073   0.368256   0.385118   0.00028004
z_subj(hc).774   0.420486    0.0119098   0.397531   0.412345   0.420082   0.428821   0.444144  0.000278495
z_subj(hc).775    0.48602    0.0124288   0.462441   0.477637   0.485794    0.49439   0.510588  0.000317186
z_subj(hc).776     0.4038    0.0123363   0.380418   0.394991   0.403638    0.41278   0.427225  0.000311391
z_subj(hc).777   0.388197    0.0123306   0.363881   0.380167   0.388155   0.396283   0.412925   0.00031994
z_subj(hc).778   0.436434    0.0120671   0.412833   0.428272   0.436485   0.444723   0.460101  0.000255324
z_subj(hc).779   0.414826    0.0128881   0.389298   0.405781   0.415117   0.423479   0.441269  0.000303473
z_subj(hc).780   0.407277     0.012537    0.38313   0.399131   0.407418   0.415495   0.431362  0.000344036
z_subj(hc).781   0.410266    0.0122948   0.387014   0.401965   0.410108   0.418542   0.435093  0.000322452
z_subj(hc).782   0.439825    0.0122696   0.415484   0.431758   0.439556   0.448036   0.463917  0.000278824
z_subj(hc).783   0.386513    0.0118973   0.363829   0.378369   0.386656   0.394207   0.409715  0.000318071
z_subj(hc).784   0.482184    0.0126749   0.456978   0.473805   0.482267   0.490876   0.506619  0.000306599
z_subj(hv).761   0.412227    0.0123932   0.388743    0.40415   0.411931   0.420583   0.436387  0.000306873
z_subj(hv).762   0.407633    0.0123319   0.384173   0.399257   0.407596   0.416276   0.431135  0.000279889
z_subj(hv).763   0.447779    0.0123911   0.423035   0.439876    0.44771    0.45607   0.472026  0.000326367
z_subj(hv).764   0.435836     0.012199   0.412243   0.427461   0.435653   0.444233   0.459094   0.00031783
z_subj(hv).765   0.402728    0.0121475   0.379027   0.394852   0.402689   0.410758   0.426605  0.000287328
z_subj(hv).766    0.38965    0.0119901   0.366316   0.381518   0.389518   0.397802   0.412627  0.000312893
z_subj(hv).767   0.435438    0.0121874   0.410893   0.427297    0.43567   0.443427   0.459391  0.000275028
z_subj(hv).768   0.497117    0.0121138   0.472718   0.488936   0.497511   0.505647   0.520154  0.000318537
z_subj(hv).769   0.403116    0.0123076   0.379476   0.394392   0.403414   0.411561   0.426576  0.000329839
z_subj(hv).770   0.406058    0.0124982   0.381742   0.397576   0.405801     0.4145   0.431026  0.000261783
z_subj(hv).771   0.480489    0.0133065   0.454347   0.471579   0.480058    0.48964    0.50709  0.000373866
z_subj(hv).772   0.474945     0.012567   0.449352   0.466632   0.475143   0.483515   0.499711   0.00029385
z_subj(hv).773   0.413673    0.0123867   0.389816   0.405515   0.413426   0.421872   0.439229  0.000349751
