choice, accuracy, solution,  reward, cumulative_reward, rt,  total_trial_time, iti, cp_with_slow_fast
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.000000000000000000e+01,3.865000000000000000e+03,3.554449081420898438e-01,1.828840017318725586e+00,4.825979030844731454e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.600000000000000000e+01,3.931000000000000000e+03,2.452309131622314453e-01,1.620937108993530273e+00,3.703984815962180210e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.300000000000000000e+01,3.994000000000000000e+03,3.356149196624755859e-01,1.606938838958740234e+00,2.775032056221727328e-01,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.200000000000000000e+01,4.036000000000000000e+03,2.916979789733886719e-01,1.573507785797119141e+00,3.010302224039409502e-01,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.100000000000000000e+01,4.097000000000000000e+03,3.323690891265869141e-01,1.597699165344238281e+00,2.655274042858865036e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+01,4.157000000000000000e+03,3.061559200286865234e-01,1.692138910293579102e+00,4.075675679633219972e-01,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.700000000000000000e+01,4.214000000000000000e+03,3.611760139465332031e-01,1.678991079330444336e+00,3.200139773762871731e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.200000000000000000e+01,4.276000000000000000e+03,2.548670768737792969e-01,1.540113925933837891e+00,2.935870361929924233e-01,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.500000000000000000e+01,4.331000000000000000e+03,2.295610904693603516e-01,1.830293178558349609e+00,6.069687493452480265e-01,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.600000000000000000e+01,4.387000000000000000e+03,2.663168907165527344e-01,1.627760887145996094e+00,3.683483784472766920e-01,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.400000000000000000e+01,4.441000000000000000e+03,2.950279712677001953e-01,1.797075986862182617e+00,4.986870063237399675e-01,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.100000000000000000e+01,4.502000000000000000e+03,2.270920276641845703e-01,1.471379041671752930e+00,2.537007791306029048e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.600000000000000000e+01,4.558000000000000000e+03,3.396279811859130859e-01,1.854691982269287109e+00,5.249044609239942316e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.100000000000000000e+01,4.619000000000000000e+03,2.704908847808837891e-01,1.587242841720581055e+00,3.290703051321049455e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.100000000000000000e+01,4.680000000000000000e+03,2.743051052093505859e-01,1.508189201354980469e+00,2.540398196921675456e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.600000000000000000e+01,4.736000000000000000e+03,3.206789493560791016e-01,1.603452920913696289e+00,2.908700514607168719e-01,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.600000000000000000e+01,4.782000000000000000e+03,2.916300296783447266e-01,1.897419929504394531e+00,6.213052371155622922e-01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+01,4.822000000000000000e+03,2.397530078887939453e-01,1.732752084732055664e+00,5.043085247771759150e-01,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.600000000000000000e+01,4.868000000000000000e+03,2.194719314575195312e-01,1.482337951660156250e+00,2.702795199581609076e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+01,4.928000000000000000e+03,3.102028369903564453e-01,1.574589014053344727e+00,2.615921866067026924e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.600000000000000000e+01,4.984000000000000000e+03,2.816040515899658203e-01,1.779216051101684570e+00,5.072765925135688247e-01,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.900000000000000000e+01,5.043000000000000000e+03,2.943370342254638672e-01,1.871676206588745117e+00,5.789530975809945579e-01,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.400000000000000000e+01,5.107000000000000000e+03,2.647531032562255859e-01,1.610446929931640625e+00,3.563792239415101148e-01,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.600000000000000000e+01,5.163000000000000000e+03,2.511441707611083984e-01,1.583431005477905273e+00,3.398970249430117718e-01,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.100000000000000000e+01,5.224000000000000000e+03,2.368669509887695312e-01,1.756154060363769531e+00,5.292472036307804828e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.100000000000000000e+01,5.285000000000000000e+03,3.259050846099853516e-01,1.642786026000976562e+00,3.389623539779996197e-01,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.600000000000000000e+01,5.341000000000000000e+03,2.489430904388427734e-01,1.536041021347045898e+00,2.917989945483971392e-01,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.600000000000000000e+01,5.397000000000000000e+03,2.657151222229003906e-01,1.991734027862548828e+00,7.331316751942604792e-01,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.500000000000000000e+01,5.452000000000000000e+03,2.957420349121093750e-01,1.874300956726074219e+00,5.743379903779988194e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.900000000000000000e+01,5.511000000000000000e+03,3.781368732452392578e-01,1.612308979034423828e+00,2.537458236643572729e-01,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.100000000000000000e+01,5.572000000000000000e+03,2.785351276397705078e-01,1.574671030044555664e+00,2.950886715063542609e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+01,5.632000000000000000e+03,3.159239292144775391e-01,1.967837095260620117e+00,6.626027083736798495e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.100000000000000000e+01,5.693000000000000000e+03,3.162970542907714844e-01,1.821439027786254883e+00,5.176223885731838781e-01,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.000000000000000000e+01,5.753000000000000000e+03,2.630310058593750000e-01,1.948132991790771484e+00,6.823261431095528629e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.200000000000000000e+01,5.815000000000000000e+03,3.041050434112548828e-01,1.890320062637329102e+00,5.894863628672770695e-01,0.000000000000000000e+00
