choice, accuracy, solution,  reward, cumulative_reward, rt,  total_trial_time, iti, cp_with_slow_fast, high_val_cue
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.700000000000000000e+01,2.979000000000000000e+03,3.074758052825927734e-01,1.548848152160644531e+00,2.527175836320229574e-01,0.000000000000000000e+00,1.120000000000000000e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.600000000000000000e+01,3.035000000000000000e+03,2.755300998687744141e-01,1.769608974456787109e+00,5.054581940637270510e-01,0.000000000000000000e+00,1.120000000000000000e+02
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.600000000000000000e+01,3.091000000000000000e+03,3.749098777770996094e-01,1.750432014465332031e+00,3.894142283902525814e-01,0.000000000000000000e+00,1.120000000000000000e+02
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.400000000000000000e+01,3.145000000000000000e+03,2.940151691436767578e-01,1.965256929397583008e+00,6.878005996043476955e-01,0.000000000000000000e+00,1.120000000000000000e+02
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.100000000000000000e+01,3.196000000000000000e+03,2.794940471649169922e-01,1.896371126174926758e+00,6.176333952769904601e-01,0.000000000000000000e+00,1.120000000000000000e+02
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.700000000000000000e+01,3.253000000000000000e+03,2.904388904571533203e-01,1.840491056442260742e+00,5.582241172768216408e-01,0.000000000000000000e+00,1.120000000000000000e+02
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.600000000000000000e+01,3.319000000000000000e+03,2.862739562988281250e-01,1.999548912048339844e+00,7.243005494141958600e-01,0.000000000000000000e+00,1.120000000000000000e+02
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+01,3.379000000000000000e+03,2.473020553588867188e-01,1.786224126815795898e+00,5.441013620873785817e-01,0.000000000000000000e+00,1.120000000000000000e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.600000000000000000e+01,3.435000000000000000e+03,3.240849971771240234e-01,2.035279989242553711e+00,7.292673443741801709e-01,0.000000000000000000e+00,1.120000000000000000e+02
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.200000000000000000e+01,3.487000000000000000e+03,3.207030296325683594e-01,1.968731880187988281e+00,6.648176094276690984e-01,0.000000000000000000e+00,1.120000000000000000e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.600000000000000000e+01,3.543000000000000000e+03,2.910878658294677734e-01,1.625787019729614258e+00,3.576215493430098813e-01,0.000000000000000000e+00,1.120000000000000000e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.200000000000000000e+01,3.605000000000000000e+03,3.297531604766845703e-01,1.874430894851684570e+00,5.486001460744777125e-01,0.000000000000000000e+00,1.120000000000000000e+02
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.900000000000000000e+01,3.664000000000000000e+03,2.865719795227050781e-01,1.572124958038330078e+00,2.877315269922862129e-01,0.000000000000000000e+00,1.120000000000000000e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.900000000000000000e+01,3.723000000000000000e+03,2.878839969635009766e-01,1.791242122650146484e+00,5.121228170871036101e-01,0.000000000000000000e+00,1.120000000000000000e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.200000000000000000e+01,3.775000000000000000e+03,2.777340412139892578e-01,1.912834882736206055e+00,6.582072916918185745e-01,0.000000000000000000e+00,1.120000000000000000e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.900000000000000000e+01,3.834000000000000000e+03,3.321058750152587891e-01,1.891916990280151367e+00,5.669795073474100944e-01,0.000000000000000000e+00,1.120000000000000000e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.200000000000000000e+01,3.896000000000000000e+03,2.751908302307128906e-01,1.905654191970825195e+00,6.392070934891168621e-01,0.000000000000000000e+00,1.120000000000000000e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.400000000000000000e+01,3.950000000000000000e+03,2.402398586273193359e-01,1.652764797210693359e+00,4.256121289779009609e-01,0.000000000000000000e+00,1.120000000000000000e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.300000000000000000e+01,4.003000000000000000e+03,2.563178539276123047e-01,1.853464841842651367e+00,6.122915482727797620e-01,0.000000000000000000e+00,1.120000000000000000e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.600000000000000000e+01,4.059000000000000000e+03,2.603468894958496094e-01,1.611183881759643555e+00,3.737855944517080586e-01,0.000000000000000000e+00,1.120000000000000000e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.500000000000000000e+01,4.114000000000000000e+03,3.477909564971923828e-01,1.902594089508056641e+00,5.596150167499656103e-01,0.000000000000000000e+00,1.120000000000000000e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.600000000000000000e+01,4.170000000000000000e+03,2.766950130462646484e-01,1.714856863021850586e+00,4.579327134965514579e-01,0.000000000000000000e+00,1.120000000000000000e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.900000000000000000e+01,4.229000000000000000e+03,2.402009963989257812e-01,1.525401830673217773e+00,3.002070095228580593e-01,0.000000000000000000e+00,1.120000000000000000e+02
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.900000000000000000e+01,4.288000000000000000e+03,2.910759449005126953e-01,1.757661104202270508e+00,4.744233373232880635e-01,0.000000000000000000e+00,1.120000000000000000e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.100000000000000000e+01,4.349000000000000000e+03,3.029348850250244141e-01,1.671063899993896484e+00,3.789773536321172087e-01,0.000000000000000000e+00,1.120000000000000000e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.900000000000000000e+01,4.408000000000000000e+03,3.223528861999511719e-01,1.740616083145141602e+00,4.362602352644874837e-01,0.000000000000000000e+00,1.120000000000000000e+02
