"r_t1","r_t2","c_prob","c_prob_epoch_t0","c_prob_epoch_t1","cp","obs_cp","mu_rewards","std_rewards","condition","trial","trialset","epoch_n","ID","p_id_solution","t0_p","t1_p","epoch_trial"
0,2.636197,0.875,0,1,0,0,3,1,"lc",120,"23",4,784,111,0.15,0.85,12
0,4.129413,0.876033,0,1,0,0,3,1,"lc",121,"23",4,784,111,0.15,0.85,13
0,3.466817,0.877049,0,1,0,0,3,1,"lc",122,"23",4,784,111,0.15,0.85,14
0,3.720834,0.878049,0,1,0,0,3,1,"lc",123,"23",4,784,111,0.15,0.85,15
0,2.116013,0.879032,0,1,0,0,3,1,"lc",124,"23",4,784,111,0.15,0.85,16
0,2.022465,0.88,0,1,0,0,3,1,"lc",125,"23",4,784,111,0.15,0.85,17
0,4.307757,0.880952,0,1,0,0,3,1,"lc",126,"23",4,784,111,0.15,0.85,18
0,3.390754,0.88189,0,1,0,0,3,1,"lc",127,"23",4,784,111,0.15,0.85,19
0,3.350756,0.882812,0,1,0,0,3,1,"lc",128,"23",4,784,111,0.15,0.85,20
0,2.586642,0.883721,0,1,0,0,3,1,"lc",129,"23",4,784,111,0.15,0.85,21
4.135904,0,0.876923,0.045455,0.954545,0,1,3,1,"lc",130,"23",4,784,111,0.15,0.85,22
0,4.268352,0.877863,0.043478,0.956522,0,1,3,1,"lc",131,"23",4,784,111,0.15,0.85,23
2.046892,0,0.871212,0.083333,0.916667,0,1,3,1,"lc",132,"23",4,784,111,0.15,0.85,24
0,4.578319,0.87218,0.08,0.92,0,1,3,1,"lc",133,"23",4,784,111,0.15,0.85,25
0,3.445264,0.873134,0.076923,0.923077,0,0,3,1,"lc",134,"23",4,784,111,0.15,0.85,26
0,2.037128,0.874074,0.074074,0.925926,0,0,3,1,"lc",135,"23",4,784,111,0.15,0.85,27
0,2.433994,0.875,0.071429,0.928571,0,0,3,1,"lc",136,"23",4,784,111,0.15,0.85,28
3.628078,0,0.875912,1,0,1,1,3,1,"lc",137,"23",5,784,112,0.85,0.15,1
4.519792,0,0.876812,1,0,0,0,3,1,"lc",138,"23",5,784,112,0.85,0.15,2
5.325614,0,0.877698,1,0,0,0,3,1,"lc",139,"23",5,784,112,0.85,0.15,3
3.958411,0,0.878571,1,0,0,0,3,1,"lc",140,"23",5,784,112,0.85,0.15,4
3.615697,0,0.879433,1,0,0,0,3,1,"lc",141,"23",5,784,112,0.85,0.15,5
3.831386,0,0.880282,1,0,0,0,3,1,"lc",142,"23",5,784,112,0.85,0.15,6
1.221997,0,0.881119,1,0,0,0,3,1,"lc",143,"23",5,784,112,0.85,0.15,7
2.658998,0,0.881944,1,0,0,0,3,1,"lc",144,"23",5,784,112,0.85,0.15,8
1.531734,0,0.882759,1,0,0,0,3,1,"lc",145,"23",5,784,112,0.85,0.15,9
3.457672,0,0.883562,1,0,0,0,3,1,"lc",146,"23",5,784,112,0.85,0.15,10
0,4.493574,0.877551,0.909091,0.090909,0,1,3,1,"lc",147,"23",5,784,112,0.85,0.15,11
2.357747,0,0.878378,0.916667,0.083333,0,1,3,1,"lc",148,"23",5,784,112,0.85,0.15,12
2.497639,0,0.879195,0.923077,0.076923,0,0,3,1,"lc",149,"23",5,784,112,0.85,0.15,13
1.133824,0,0.88,0.928571,0.071429,0,0,3,1,"lc",150,"23",5,784,112,0.85,0.15,14
3.120537,0,0.880795,0.933333,0.066667,0,0,3,1,"lc",151,"23",5,784,112,0.85,0.15,15
1.914894,0,0.881579,0.9375,0.0625,0,0,3,1,"lc",152,"23",5,784,112,0.85,0.15,16
2.992477,0,0.882353,0.941176,0.058824,0,0,3,1,"lc",153,"23",5,784,112,0.85,0.15,17
2.235673,0,0.883117,0.944444,0.055556,0,0,3,1,"lc",154,"23",5,784,112,0.85,0.15,18
1.977679,0,0.883871,0.947368,0.052632,0,0,3,1,"lc",155,"23",5,784,112,0.85,0.15,19
2.947039,0,0.884615,0.95,0.05,0,0,3,1,"lc",156,"23",5,784,112,0.85,0.15,20
3.221369,0,0.88535,0.952381,0.047619,0,0,3,1,"lc",157,"23",5,784,112,0.85,0.15,21
3.331147,0,0.886076,0.954545,0.045455,0,0,3,1,"lc",158,"23",5,784,112,0.85,0.15,22
0,1.756797,0.880503,0.913043,0.086957,0,1,3,1,"lc",159,"23",5,784,112,0.85,0.15,23
2.073568,0,0.88125,0.916667,0.083333,0,1,3,1,"lc",160,"23",5,784,112,0.85,0.15,24
3.366258,0,0.881988,0.92,0.08,0,0,3,1,"lc",161,"23",5,784,112,0.85,0.15,25
0,4.362091,0.876543,0.884615,0.115385,0,1,3,1,"lc",162,"23",5,784,112,0.85,0.15,26
2.348704,0,0.877301,0.888889,0.111111,0,1,3,1,"lc",163,"23",5,784,112,0.85,0.15,27
2.947072,0,0.878049,0.892857,0.107143,0,0,3,1,"lc",164,"23",5,784,112,0.85,0.15,28
0,2.434075,0.872727,0.862069,0.137931,0,1,3,1,"lc",165,"23",5,784,112,0.85,0.15,29
0,2.743797,0.86747,0.833333,0.166667,0,0,3,1,"lc",166,"23",5,784,112,0.85,0.15,30
3.963749,0,0.868263,0.83871,0.16129,0,1,3,1,"lc",167,"23",5,784,112,0.85,0.15,31
1.578179,0,0.869048,0.84375,0.15625,0,0,3,1,"lc",168,"23",5,784,112,0.85,0.15,32
0,2.84425,0.869822,0,1,1,1,3,1,"lc",169,"23",6,784,111,0.15,0.85,1
1.68543,0,0.864706,0.5,0.5,0,1,3,1,"lc",170,"23",6,784,111,0.15,0.85,2
1.916298,0,0.859649,0.666667,0.333333,0,0,3,1,"lc",171,"23",6,784,111,0.15,0.85,3
0,2.298971,0.860465,0.5,0.5,0,1,3,1,"lc",172,"23",6,784,111,0.15,0.85,4
0,2.898964,0.861272,0.4,0.6,0,0,3,1,"lc",173,"23",6,784,111,0.15,0.85,5
2.728454,0,0.856322,0.5,0.5,0,1,3,1,"lc",174,"23",6,784,111,0.15,0.85,6
0,2.777527,0.857143,0.428571,0.571429,0,1,3,1,"lc",175,"23",6,784,111,0.15,0.85,7
0,4.15049,0.857955,0.375,0.625,0,0,3,1,"lc",176,"23",6,784,111,0.15,0.85,8
0,1.881326,0.858757,0.333333,0.666667,0,0,3,1,"lc",177,"23",6,784,111,0.15,0.85,9
0,2.66959,0.859551,0.3,0.7,0,0,3,1,"lc",178,"23",6,784,111,0.15,0.85,10
0,2.981944,0.860335,0.272727,0.727273,0,0,3,1,"lc",179,"23",6,784,111,0.15,0.85,11
0,3.740802,0.861111,0.25,0.75,0,0,3,1,"lc",180,"23",6,784,111,0.15,0.85,12
0,3.251623,0.861878,0.230769,0.769231,0,0,3,1,"lc",181,"23",6,784,111,0.15,0.85,13
0,3.270413,0.862637,0.214286,0.785714,0,0,3,1,"lc",182,"23",6,784,111,0.15,0.85,14
3.059258,0,0.857923,0.266667,0.733333,0,1,3,1,"lc",183,"23",6,784,111,0.15,0.85,15
0,2.298835,0.858696,0.25,0.75,0,1,3,1,"lc",184,"23",6,784,111,0.15,0.85,16
0,1.547883,0.859459,0.235294,0.764706,0,0,3,1,"lc",185,"23",6,784,111,0.15,0.85,17
0,2.496914,0.860215,0.222222,0.777778,0,0,3,1,"lc",186,"23",6,784,111,0.15,0.85,18
0,1.789591,0.860963,0.210526,0.789474,0,0,3,1,"lc",187,"23",6,784,111,0.15,0.85,19
