                      mean          std         2.5q         25q          50q          75q        97.5q       mc err
v_subj(lv).3       1.28403    0.0873376      1.11009     1.22557      1.28211      1.34137      1.45957   0.00208904
v_subj(lv).4       1.80591     0.152042      1.49685     1.70545      1.80871      1.90876      2.09924   0.00355118
v_subj(lv).5       1.45406     0.130362      1.19984     1.36393      1.45403      1.54693      1.69608   0.00280744
v_subj(lv).6       2.40499     0.169169      2.06832     2.29333       2.4079      2.51703      2.74062   0.00367865
v_subj(lv).7       1.37113     0.176299      1.02371     1.25309      1.37278       1.4906      1.72488   0.00372272
v_subj(lv).8       1.71501     0.124632      1.46465     1.63232      1.71419      1.80078      1.96314   0.00321249
v_subj(lv).9       1.27501     0.135093       1.0138     1.18382      1.27263      1.36496      1.54256   0.00317652
v_subj(lv).10      1.10267     0.119986     0.849816     1.02386      1.10655      1.18375      1.34049   0.00271088
v_subj(lv).11      2.35169     0.176761       2.0201     2.23193      2.34808      2.47465      2.69634   0.00452395
v_subj(lv).12       1.7421     0.178397      1.38443     1.62743      1.74167      1.86544      2.09091   0.00383227
v_subj(lv).13     0.778117     0.102193     0.573621    0.708879      0.77761     0.846849     0.979361    0.0022309
v_subj(lv).14       1.4655     0.169977      1.14089     1.34892       1.4656      1.57933      1.80351   0.00366857
v_subj(lv).15      1.53463      0.15299      1.22541     1.43407      1.53502      1.64104      1.82542   0.00330322
v_subj(lv).16       1.5976     0.116908      1.36534     1.51982      1.60096      1.67414      1.83274   0.00256765
v_subj(lv).17      1.52292    0.0860424      1.35093     1.46437      1.52407       1.5797      1.69537   0.00219145
v_subj(lv).18      1.26926      0.10321      1.06379     1.20071      1.27008      1.33823      1.46689   0.00240294
v_subj(lv).19      1.26921     0.144106     0.981759     1.17178      1.26739      1.36865      1.54409   0.00370247
v_subj(lv).20      1.06501     0.105477     0.857948    0.992007      1.06622      1.13794      1.27314   0.00295033
v_subj(lv).21      1.03741     0.141557     0.760477    0.943497      1.03871      1.13248      1.30963   0.00333533
v_subj(lv).22      1.12771     0.127203     0.875263     1.04342      1.13145      1.21162      1.37175   0.00289892
v_subj(lv).23      1.71865     0.109935      1.51108      1.6454      1.71739      1.79198      1.92953   0.00245889
t                 0.220842    0.0683616     0.125969    0.172418     0.208351     0.254893     0.396828   0.00442397
t_std             0.299298     0.116709     0.152986    0.220213      0.27263     0.348654      0.59722   0.00775564
t_subj.0          0.146758   0.00121311     0.144274    0.145974     0.146769      0.14755     0.149145  4.20758e-05
t_subj.1          0.207782  0.000635035     0.206497    0.207351     0.207795     0.208227     0.209007  1.98339e-05
t_subj.2          0.106989   0.00142166     0.104053    0.106092     0.107002     0.107969     0.109614  4.80392e-05
t_subj.3       3.38073e-06  4.43767e-06  1.57336e-09  3.1819e-07  1.63073e-06  4.65411e-06  1.66813e-05  1.96189e-07
